Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),
Configuration Field Inputs,50,50,18,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.0420000004,-25.02658203,0.0192079337416,165.396841416,25.2144436696,-55.4342829109,1.07173566512,-48.3320478566,0.0493879812668,145.741830065,0.196694092619,164.745749539,0.126373569125,-46.4458046832,0.483808066114,164.718401847,0.215181746262,-52.1529504043,0.0633858269108,-57.084484061,31.9781532668,-47.0752882967,7.50500863922,159.059070922,0.0428944679124,138.386968889,0.470414135609,155.306587189,18.527434746,163.625413842,0.24517082184,137.409628798,0.327819153124,144.317173746,17.9662474075,133.676478433,49.9999998653,3.50782641665,
 ,0.02,1.04200000038,-25.0265817367,0.01920793299,165.396842197,25.2144438613,-55.4342827255,1.07173574454,-48.3320488747,0.0493879749885,145.741830626,0.19669409297,164.745749985,0.126373550897,-46.4458081056,0.483808074678,164.718402358,0.215181763661,-52.1529508542,0.0633858285526,-57.0844838821,31.9781535653,-47.0752881577,7.5050086712,159.059071291,0.0428944593453,138.386966574,0.470414124963,155.306587423,18.5274344538,163.625414138,0.245170817906,137.409628964,0.327819146808,144.317173842,17.9662471429,133.676478224,49.9999999204,1.29045700006,
 ,0.04,1.0420000003,-25.0265808529,0.0192079306815,165.396844494,25.2144444181,-55.4342821775,1.07173578679,-48.3320486017,0.0493879584481,145.741829864,0.196694094671,164.745751048,0.126373554135,-46.4458087966,0.483808097044,164.718403625,0.215181787303,-52.1529498002,0.0633858333844,-57.0844833024,31.9781544539,-47.0752877311,7.50500877469,159.059072342,0.0428944583183,138.386966855,0.470414093899,155.30658816,18.5274335778,163.62541503,0.245170806336,137.409629498,0.327819127836,144.31717413,17.9662463508,133.676477606,49.9999998889,0.474732778098,
 ,0.06,1.04200000016,-25.0265793917,0.0192079268603,165.396848292,25.2144453361,-55.4342812722,1.07173584233,-48.3320479396,0.0493879317194,145.741828489,0.196694097669,164.745752789,0.126373564843,-46.4458090211,0.483808133221,164.718405676,0.215181824593,-52.1529477926,0.0633858413906,-57.084482344,31.9781559061,-47.0752870178,7.50500894509,159.059074074,0.0428944592552,138.386969141,0.470414042636,155.306589374,18.5274321399,163.625416504,0.245170787324,137.409630381,0.327819096583,144.317174611,17.9662450466,133.676476596,49.9999998268,0.174644748602,
 ,0.08,1.04199999998,-25.0265773694,0.0192079215687,165.396853553,25.2144466016,-55.4342800167,1.07173591707,-48.3320470092,0.0493878958325,145.741826698,0.196694102087,164.745755204,0.126373580253,-46.4458091774,0.48380818189,164.718408483,0.215181874952,-52.1529450104,0.063385852498,-57.0844810191,31.9781578809,-47.0752860132,7.50500917797,159.059076466,0.0428944610336,138.38697278,0.470413972032,155.306591055,18.5274301714,163.625418544,0.245170761325,137.409631613,0.327819053564,144.317175285,17.9662432537,133.676475219,49.9999997548,0.06424857648,
 ,0.1,1.04199040687,-25.026488493,0.0193352449375,166.552728144,25.2151314,-55.4396481964,1.07278793249,-48.9845376561,0.0492331678704,154.036427018,0.197400633652,165.6214955,0.127352892438,-49.5462161393,0.490225257267,168.660975044,0.220240620931,-57.1432989632,0.0633858602156,-57.0861021466,31.9780557407,-47.0753581611,7.50654654856,159.13498456,0.0427296558099,140.498675384,0.470552250735,155.395737767,18.5271743846,163.623787716,0.245168157824,137.407457679,0.327817780328,144.316040903,17.9661732422,133.67849045,49.9999918738,0.0236722490579,
 ,0.12,1.04199012833,-25.0263862117,0.0193639638954,166.552262835,25.2161422348,-55.4404065487,1.07210778859,-48.9975803038,0.0494722532685,154.096068501,0.197780227697,165.638698227,0.126799441831,-49.6715632918,0.493485001577,168.721393623,0.219329251231,-57.3027197355,0.0633863711203,-57.0860536356,31.9782260919,-47.0753985409,7.50846350483,159.138075249,0.0429233831325,140.631692122,0.470631898322,155.397144869,18.5270722608,163.623837454,0.245166325955,137.40744079,0.327817154032,144.316053235,17.9663000632,133.678747663,49.999987314,0.00873521054767,
 ,0.14,1.04199911515,-25.0262272075,0.0193094715042,165.389056814,25.2173287133,-55.4365323326,1.06958957019,-48.3798951118,0.0503056066279,146.12514324,0.197943734173,164.801955629,0.124812108617,-46.8097761642,0.494509188348,164.971800805,0.212076395818,-52.6507297102,0.0633872207845,-57.0843196495,31.9787004918,-47.0753848053,7.51129617841,159.068940228,0.0434236109009,138.787352487,0.470700849978,155.310424559,18.5270805726,163.625600706,0.245164488268,137.409589432,0.327816698236,144.317215066,17.966666667,133.677298139,49.999980645,0.00325122583357,
 ,0.16,1.04199871513,-25.0259046478,0.0193783725324,165.348292813,25.2188885339,-55.4375578768,1.06847569358,-48.3991447844,0.0509544824234,146.199571272,0.19880086761,164.823391546,0.124128089447,-46.9634670536,0.501107491025,165.042874085,0.21035743612,-52.8505781013,0.0633876227635,-57.0840495174,31.9791695811,-47.0753871802,7.51620018341,159.075130872,0.0436905925022,138.958969885,0.470928071331,155.310738094,18.5267664449,163.625845306,0.245158732662,137.409646237,0.327814133338,144.317309756,17.9669845095,133.67791374,49.9999635416,0.00128314692759,
 ,0.18,1.04199828373,-25.0254164393,0.0194681924389,165.305218641,25.2197926238,-55.4381684153,1.06684728995,-48.4245357509,0.0519184000005,146.370642818,0.199844180999,164.855414532,0.123083472936,-47.1747573843,0.508417643419,165.148179894,0.207936242479,-53.1427522694,0.0633871637119,-57.0835872758,31.9797816229,-47.0752771835,7.52261429141,159.08372616,0.0440418042652,139.188965546,0.471214336014,155.311952587,18.5262925741,163.626251079,0.245150027585,137.409772939,0.327809580288,144.317488784,17.9673424253,133.678734845,49.9999423073,0.000581381080171,
