Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.04000000271,-11.2673774199,0.0367956078134,16.4282046403,9.34712615447,156.04166088,11.3924795337,-52.3315029233,11.5883168694,-29.8029261973,0.626608234578,132.875743869,0.0881988509428,63.2240046539,35.2463489406,167.700878981,49.9999995028,1.61704486425,
 ,0.02,1.04000000276,-11.2673768923,0.0367956448981,16.4281564665,9.34712584021,156.041660853,11.3924799206,-52.3315036467,11.5883172406,-29.8029259952,0.626608048913,132.875735815,0.0881988511291,63.2240004185,35.2463486177,167.700879439,49.9999997623,0.594876424135,
 ,0.04,1.04000000252,-11.2673752464,0.0367957609329,16.4280090521,9.34712486128,156.041660689,11.3924811161,-52.3315058082,11.5883183949,-29.802925289,0.626607474381,132.875710054,0.0881988519969,63.2239872051,35.2463485464,167.70088148,49.9999997603,0.21884287606,
 ,0.06,1.04000000216,-11.2673725202,0.0367959525689,16.4277652367,9.3471232415,156.04166043,11.3924830999,-52.3315094065,11.5883203031,-29.8029241244,0.62660652409,132.875667546,0.0881988533992,63.2239653602,35.2463482214,167.700884757,49.9999996647,0.0805082971232,
 ,0.08,1.04000000168,-11.2673687211,0.0367962184695,16.4274268565,9.34712098811,156.041660079,11.3924858688,-52.3315144363,11.5883229535,-29.8029224971,0.626605203598,132.875608522,0.088198855336,63.2239350031,35.2463476564,167.70088926,49.9999995354,0.0296180051652,
 ,0.1,1.03999998821,-11.2673629752,0.0367962741836,16.4269051041,9.34717587349,156.041977526,11.3924894937,-52.3315198928,11.5883269126,-29.8029175432,0.62660769399,132.88363232,0.0881848258468,63.2275536943,35.2463681765,167.700928321,49.9999993174,0.0108968999154,
 ,0.12,1.03999998869,-11.2673563919,0.0367966170891,16.4265174808,9.34720495931,156.042022008,11.3924939287,-52.3315274874,11.5883314828,-29.8029149589,0.626631903003,132.884618286,0.088184793316,63.229605927,35.2463776831,167.700932566,49.9999991582,0.00400958060997,
 ,0.14,1.04000000372,-11.2673487816,0.0367972206781,16.4263227176,9.34721134571,156.041790863,11.3924992001,-52.3315371324,11.5883367889,-29.8029147801,0.626685713768,132.878768325,0.0881989236315,63.2308341448,35.2463791772,167.700900624,49.9999990074,0.00147587406878,
 ,0.16,1.04000000635,-11.2673387611,0.0367975584956,16.4260578351,9.34728088173,156.041896283,11.3925053829,-52.3315469338,11.5883436958,-29.8029111729,0.62675601255,132.881344723,0.0881993512439,63.2365567729,35.2464063496,167.700901849,49.9999987424,0.000544269985655,
 ,0.18,1.0400000099,-11.2673267696,0.0367978559329,16.425904079,9.34736664792,156.042028063,11.3925124648,-52.3315576624,11.5883519226,-29.8029069012,0.626851606822,132.884952637,0.0881997855949,63.2442501334,35.2464426611,167.700902169,49.9999984687,0.000201615720666,
 ,0.2,1.04000001491,-11.2673123016,0.0367980479185,16.4259754506,9.34747294649,156.04219296,11.3925205192,-52.3315690637,11.5883618094,-29.8029018537,0.626985154907,132.890083371,0.088200309998,63.2547819456,35.246492888,167.700900743,49.9999981464,7.58182162654e-05,
 ,0.22,1.04000002198,-11.2672946813,0.0367980469117,16.4264199991,9.34760699831,156.042403299,11.3925296464,-52.3315808011,11.5883738147,-29.8028958645,0.62717286004,132.897416474,0.0882009466137,63.2692238072,35.2465630701,167.700896672,49.9999977455,2.99474345022e-05,
 ,0.24,1.04000003184,-11.2672730097,0.0367977334885,16.427433941,9.34777708141,156.042673119,11.3925399818,-52.3315924314,11.5883885515,-29.8028886989,0.627435026287,132.907825137,0.0882016997259,63.2888527999,35.2466608764,167.700889077,49.9999972348,1.36383236034e-05,
 ,0.26,1.04000004534,-11.2672460918,0.0367969460386,16.4292767858,9.34799254591,156.043018273,11.3925517081,-52.3316033704,11.588406838,-29.8028800282,0.627796898499,132.922411227,0.0882025601168,63.3151842479,35.2467960066,167.700877172,49.9999965765,8.39922193887e-06,
 ,0.28,1.04000006351,-11.2672123478,0.0367954685217,16.4322889236,9.34826405182,156.043457082,11.3925650692,-52.3316128501,11.5884297593,-29.8028693962,0.628289487834,132.942540677,0.0882035059416,63.3500015659,35.2469806266,167.700860369,49.999995722,7.48123596115e-06,
 ,0.3,1.04000008751,-11.2671697075,0.0367930158819,16.4369123038,9.34860380708,156.044010976,11.3925803873,-52.3316198668,11.5884587397,-29.8028561783,0.628950352531,132.969874735,0.0882045045711,63.3953812197,35.247229835,167.700838434,49.9999946096,8.46941391212e-06,
 ,0.32,1.04000011869,-11.2671154851,0.0367892168854,16.4437146025,9.34902578894,156.044705105,11.3925980824,-52.3316231203,11.5884956286,-29.8028395301,0.629824305663,133.006394024,0.0882055166106,63.4537116492,35.2475621564,167.700811697,49.9999931616,1.05569916169e-05,
 ,0.34,1.04000015856,-11.267046233,0.0367835941977,16.453417232,9.34954595011,156.045568953,11.3926186956,-52.3316209408,11.5885428002,-29.8028183265,0.630964018054,133.054412092,0.088206502951,63.5277049911,35.2480000525,167.700781325,49.9999912813,1.35434817603e-05,
 ,0.36,1.04000020878,-11.2669575719,0.0367755415708,16.4669275427,9.35018240776,156.046636926,11.3926429158,-52.3316112048,11.5886032673,-29.8027910881,0.632430483646,133.116574876,0.0882074356687,63.6204005394,35.2485704424,167.700749646,49.9999888503,1.74671854126e-05,
 ,0.38,1.04000027117,-11.2668439969,0.0367642980874,16.4853755746,9.35095561002,156.047948936,11.3926716102,-52.331591238,11.5886808123,-29.8027558952,0.634293315447,133.195842373,0.0882083135563,63.7351590158,35.24930522,167.700720554,49.9999857243,2.24710251497e-05,
 ,0.4,1.04000034766,-11.2666986574,0.0367489195083,16.5101557444,9.35188847341,156.04955093,11.3927058582,-52.3315577036,11.5887801327,-29.802710288,0.636630842707,133.295449023,0.0882091829941,63.8756468614,35.2502417561,167.700699975,49.9999817308,2.87539881038e-05,
 ,0.42,1.04000044025,-11.2665131112,0.0367282468947,16.5429739251,9.35300648433,156.051495373,11.3927469902,-52.3315064781,11.5889070034,-29.8026511516,0.63952998398,133.418839963,0.0882101647278,64.0458099213,35.2514233701,167.700696404,49.9999766645,3.65537471719e-05,
 ,0.44,1.040000551,-11.2662770519,0.036700872834,16.5859004913,9.35433775817,156.053841647,11.3927966293,-52.3314325115,11.5890684537,-29.802574587,0.643085875838,133.569581442,0.0882114868864,64.2498360643,35.2528997572,167.700721504,49.9999702842,4.61403719678e-05,
 ,0.46,1.04000068193,-11.2659780111,0.0366651057836,16.6414301044,9.35591305037,156.056656365,11.3928567373,-52.3313296749,11.589272959,-29.8024757655,0.647401242821,133.751245441,0.0882135242482,64.4921064655,35.2547273539,167.700790771,49.9999623092,5.78136903984e-05,
 ,0.48,1.04000083497,-11.2656010369,0.0366189332789,16.7125493069,9.35776571503,156.06001358,11.3929296635,-52.3311905929,11.5895306449,-29.8023487684,0.652585500278,133.967270812,0.0882168433318,64.7771354638,35.2569696269,167.700924242,49.9999524157,7.19015286198e-05,
 ,0.5,1.04000101192,-11.2651283501,0.0365599850281,16.8028134246,9.35993160809,156.063994901,11.3930181973,-52.3310064655,11.5898535011,-29.8021864122,0.658753587704,134.22080601,0.0882222523555,65.1094991068,35.2596972698,167.701147243,49.9999402339,8.87577879911e-05,
 ,0.52,1.04000121431,-11.2645389812,0.0364854972526,16.9164348733,9.36244893346,156.06868949,11.3931256226,-52.3307668766,11.5902556039,-29.8019800584,0.666024536127,134.514541355,0.0882308544866,65.4937526944,35.2629882934,167.701491165,49.9999253449,0.000108759969118,
 ,0.54,1.04000144334,-11.2638083921,0.0363922800409,17.058385785,9.3653580325,156.07419397,11.3932557745,-52.3304595938,11.5907533424,-29.8017194111,0.674519779092,134.85054153,0.0882441021085,65.9343378661,35.2669279971,167.701994235,49.9999072787,0.000132306008451,
 ,0.56,1.04000169978,-11.2629080863,0.036276689985,17.234518958,9.36870111851,156.080612228,11.3934130967,-52.3300703595,11.5913656453,-29.8013923024,0.684361223549,135.230091043,0.088263849112,66.4354800451,35.2716088095,167.702702286,49.9998855118,0.000159810402968,
 ,0.58,1.0400019839,-11.2618052124,0.0361346109923,17.4517125844,9.37252195976,156.088055137,11.3936026997,-52.3295826774,11.5921142051,-29.8009844671,0.695669104871,135.653566329,0.0882923975136,67.001077391,35.2771299896,167.703669471,49.9998594666,0.000191699653309,
 ,0.6,1.04000229533,-11.2604621661,0.0359614469503,17.7180461068,9.37686551557,156.096640188,11.393830418,-52.3289775937,11.5930236933,-29.8004793099,0.708559659906,136.120347509,0.0883325340837,67.6345828461,35.2835971824,167.704958938,49.9998285105,0.000228407090287,
 ,0.62,1.04000263301,-11.2588361963,0.0357521309356,18.0430170407,9.38177753098,156.106491062,11.3941028658,-52.3282334797,11.5941219634,-29.7998576657,0.723142663232,136.628780412,0.0883875522155,68.3388814143,35.2911218233,167.706643408,49.999791956,0.000270367172843,
 ,0.64,1.04000299508,-11.2568790217,0.0355011569853,18.4378118304,9.38730409639,156.117737131,11.3944274904,-52.3273258148,11.5954402367,-29.7990975563,0.739518884054,137.176195421,0.0884612540557,69.1161654922,35.2998203912,167.708805652,49.999749062,0.000318009363068,
 ,0.66,1.04000337883,-11.2545364634,0.035202642237,18.9156480033,9.39349117834,156.13051291,11.3948126216,-52.3262269751,11.5970132646,-29.7981739456,0.757777532926,137.758984328,0.0885579280509,69.9678118844,35.3098135104,167.711538845,49.9996990356,0.000371751695198,
