Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),
Configuration Field Inputs,50,50,17,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Frequency,ROCOF,
 ,0.2,1.04197448448,-7.88966830643,0.0180344984185,136.110700245,0.0232544772594,-27.7174331094,0.371215196948,-45.427045402,1.7082259591,-33.9366843996,0.166262139112,-18.8100338789,0.375207906705,-163.730505956,0.376768345504,-30.4188929384,0.800228988515,-168.317029599,0.868644899695,-30.909758707,0.257423244834,-41.3550406649,7.53095761464,-20.9049168635,0.105652515251,17.5495416793,1.2132776136,-19.3883365552,0.051959940097,-76.0871693253,0.00510196317314,-4.5121559112,1.62437687483,45.3955557593,49.9975423521,0.00481653949746,
 ,0.22,1.04196643169,-7.86380683652,0.01953711218,139.596989248,0.0231987735041,-27.7096663601,0.371365883524,-45.4119965869,1.70659738402,-33.9289357181,0.164723930474,-18.7536110557,0.384249169712,-164.241030111,0.375463403776,-30.4295454308,0.83888875434,-168.967153282,0.864123967781,-30.9157241995,0.257562683276,-41.342149479,7.54175029523,-20.8900698283,0.103154691096,18.2443974624,1.21586025356,-19.3529976319,0.0521775337589,-75.6256494438,0.00516307114525,-4.69586541506,1.6274491133,45.2375218412,49.9967776607,0.00568233626159,
 ,0.24,1.04195609237,-7.83067440434,0.0211225748609,142.65631206,0.0231329834961,-27.69651785,0.371546902895,-45.3917983894,1.70470501395,-33.9164704751,0.162781791175,-18.6769634119,0.394980900867,-164.8030121,0.373978533357,-30.4355532883,0.879483652768,-169.562170316,0.858794404222,-30.9157640945,0.2577401864,-41.3254769176,7.55551606517,-20.8709517878,0.100460966696,19.0334543114,1.21914207261,-19.3079172025,0.052460573373,-75.0403946442,0.00524129912211,-4.92396685836,1.63139244966,45.0368498367,49.9958485276,0.00683521014153,
 ,0.26,1.04194301894,-7.78896516596,0.022777084589,145.344069782,0.023056963635,-27.6765364349,0.371762610469,-45.3654400878,1.70253880591,-33.8983907683,0.160401740127,-18.5775864363,0.407607346713,-165.41027682,0.372304839296,-30.4359945236,0.921904721472,-170.101107669,0.852598596011,-30.9089100572,0.257961974403,-41.3042806912,7.57276552138,-20.8467650476,0.0975646109955,19.9316028696,1.22322343936,-19.2515758255,0.0528235957473,-74.313145395,0.00533969137312,-5.20008275699,1.6363699644,44.7869537167,49.9947443879,0.00814154248954,
 ,0.28,1.04192672317,-7.73740327255,0.024486468964,147.711135533,0.022971224791,-27.6481791908,0.372016787033,-45.3318967317,1.7001002434,-33.8738241859,0.157564431549,-18.4536373995,0.422288151324,-166.051601985,0.370440459325,-30.4300588674,0.96596467478,-170.582549971,0.845508480323,-30.894446153,0.258233804315,-41.2778017636,7.59398513624,-20.8167094748,0.0944683335065,20.9540460793,1.22819050344,-19.1825952055,0.0532824691367,-73.4285966607,0.00546120622112,-5.52539738572,1.64254599606,44.4820310752,49.9934641467,0.00950705644106,
 ,0.3,1.04190669324,-7.67476707174,0.0262361329973,149.802382843,0.0228769706412,-27.609816,0.372312523575,-45.2901459332,1.69740281999,-33.8419398061,0.154265938069,-18.3039866167,0.439129306657,-166.711839221,0.368391000156,-30.4170594243,1.01140045786,-171.005253892,0.837527304864,-30.8719181793,0.258560804034,-41.2452740064,7.61962549513,-20.7799970701,0.091184148036,22.1161458586,1.23411258546,-19.0997729715,0.0538544692244,-72.3754116012,0.00560865223452,-5.89840201972,1.65008415661,44.117318443,49.99201234,0.0108695592633,
 ,0.32,1.04188241255,-7.59991630137,0.0280110316483,151.656691056,0.0227760954146,-27.5597492631,0.372652113621,-45.2391883061,1.69447168734,-33.8019591251,0.150517924639,-18.1282502386,0.45817524954,-167.373426093,0.366169395873,-30.3964331918,1.0578813101,-171.368512491,0.828689756439,-30.8411277479,0.258947296074,-41.2059360288,7.65008838804,-20.7358685335,0.0877329612674,23.4332959608,1.24103981217,-19.0021151498,0.0545582176231,-71.147231064,0.00578461460248,-6.31485759717,1.6591446599,43.6893502035,49.9903979831,0.0121838389195,
 ,0.34,1.04185338141,-7.51182174927,0.0297957197017,153.307426046,0.0226711361481,-27.4962460034,0.373036955328,-45.1780711962,1.69134273818,-33.7531641424,0.146347244918,-17.9267985282,0.479402592174,-168.018063407,0.363795464093,-30.3677318043,1.10502057423,-171.672351796,0.819060860242,-30.8021080976,0.259396615788,-41.1590451363,7.68571302795,-20.6836116955,0.0841440481992,24.9206735037,1.24900103996,-18.8888638693,0.0554134225803,-69.7435735877,0.00599137285641,-6.76801184894,1.66988077175,43.196204532,49.9886343581,0.0134118014567,
 ,0.36,1.0418191414,-7.40959649186,0.0315744824003,154.783045578,0.0225651779243,-27.4175827403,0.373467465716,-45.1059149574,1.68806120833,-33.6949032153,0.141794993766,-17.7007374182,0.50271605388,-168.62830869,0.361295207097,-30.330603058,1.15239004547,-171.917604236,0.808733771938,-30.7550803996,0.259910930678,-41.1038931067,7.7267618206,-20.6225812532,0.0804543071486,26.5927996899,1.25800214027,-18.7595187931,0.056440370292,-68.1704935276,0.0062308126301,-7.24906312508,1.68243424646,42.6377163988,49.9867390674,0.0145176664596,
 ,0.38,1.04177930175,-7.29252762117,0.0333315315607,156.107694821,0.0224617142101,-27.3221041297,0.373943009248,-45.0219407914,1.68467986771,-33.6265953358,0.136915066059,-17.4518625813,0.52794705283,-169.188879694,0.358699888676,-30.2847648651,1.19953575556,-172.105893401,0.797826578715,-30.7003919433,0.260491068426,-41.0398233204,7.77340619696,-20.5522190147,0.0767072315746,28.462831725,1.26802471238,-18.6138515432,0.0576591372434,-66.4408570722,0.00650433526272,-7.74781639815,1.69692968359,42.0156365744,49.9847340882,0.0154662595461,
