Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.11305398044,-11.6665169384,0.0639274926471,111.964528034,49.9999942971,1.7911545394,
 ,0.02,1.11305397091,-11.6665155096,0.0639274910945,111.964530458,49.9999977796,0.658912782726,
 ,0.04,1.11305396592,-11.6665136657,0.0639274901751,111.964533178,49.9999990149,0.242394795397,
 ,0.06,1.11305395994,-11.666510865,0.0639274889285,111.964537112,49.9999993846,0.0891704047255,
 ,0.08,1.1130539524,-11.6665070721,0.0639274872761,111.964542326,49.9999994335,0.0328037866396,
 ,0.1,0.468857862387,-3.07811946038,0.0334095191789,-113.197576162,48.2875254043,6.85976389366,
 ,0.12,0.467892385567,-2.59053907679,0.0334726608436,-112.572262306,49.3015775641,-2.14277204386,
 ,0.14,1.10178186475,-9.81869753277,0.0626856525445,114.664075445,50.2009209438,-4.70890623646,
 ,0.16,1.10319138677,-9.19637450627,0.0628397281481,114.921791648,50.0251674148,-0.890965131231,
 ,0.18,1.10204246608,-8.37208426039,0.0627185131079,115.664273428,49.9413211379,0.0650862656509,
 ,0.2,1.10062371523,-7.54082252556,0.0625688690471,116.432553708,49.9070943103,0.18326525237,
 ,0.22,1.09918167347,-6.71956170989,0.0624208594202,117.194283459,49.8942914274,0.126406997313,
 ,0.24,1.09777463684,-5.91379817316,0.0622810692165,117.94264966,49.8905656996,0.0629147309694,
 ,0.26,1.09643676806,-5.12786726278,0.0621528319331,118.672939323,49.89082459,0.0207807379976,
 ,0.28,1.09519476301,-4.36545964205,0.0620385441676,119.381491191,49.892969301,-0.00367908986265,
 ,0.3,1.09407056468,-3.62971797412,0.0619400209154,120.065436597,49.8961175797,-0.017498873455,
 ,0.32,1.09308197017,-2.92329296402,0.0618585800015,120.722542729,49.8998786746,-0.0255595219637,
 ,0.34,1.09224274181,-2.24837088895,0.0617950786772,121.351146971,49.9040592552,-0.0305773502122,
 ,0.36,1.09156267607,-1.60668879411,0.0617499461732,121.950133217,49.9085451473,-0.0339209372483,
 ,0.38,1.09104778216,-0.999547927027,0.0617232212434,122.518916739,49.9132544461,-0.0362447742578,
 ,0.4,1.09070059523,-0.427830194039,0.0617145934198,123.057422122,49.9181193868,-0.0378565003125,
 ,0.42,1.09052059232,0.10798061248,0.0617234439915,123.566048667,49.9230796872,-0.0389054537255,
 ,0.44,1.0905046551,0.607772470196,0.0617488833405,124.045622102,49.928080396,-0.0394729886335,
 ,0.46,1.09064751725,1.07177402794,0.0617897833326,124.497333314,49.9330714486,-0.0396136052545,
 ,0.48,1.09094213948,1.50051954007,0.0618448057668,124.922665555,49.9380078053,-0.0393727366632,
 ,0.5,1.09137997004,1.89481089215,0.0619124296053,125.323312294,49.9428497195,-0.0387938259894,
 ,0.52,1.09195107032,2.25567790779,0.0619909803238,125.701088797,49.9475629504,-0.0379206184862,
 ,0.54,1.09264411099,2.58433812715,0.0620786641032,126.057841647,49.9521188586,-0.03679739341,
 ,0.56,1.09344626932,2.88215714174,0.0621736079758,126.395361415,49.9564943685,-0.0354683841041,
 ,0.58,1.09434307922,3.150610403,0.0622739050031,126.715304004,49.960671808,-0.0339769553042,
 ,0.6,1.09531829608,3.39124724153,0.06237766177,127.019125618,49.9646386448,-0.0323647849073,
 ,0.62,1.09635383945,3.60565768164,0.0624830444947,127.30803482,49.9683871357,-0.0306711376196,
 ,0.64,1.09742986546,3.79544253444,0.0625883200988,127.582963074,49.9719139052,-0.0289322373808,
 ,0.66,1.09852500266,3.96218720465,0.0626918895005,127.84455309,49.9752194571,-0.0271807116278,
 ,0.68,1.09961676183,4.10743962343,0.062792311704,128.093162693,49.9783076265,-0.0254450815618,
 ,0.7,1.10068210727,4.23269267117,0.0628883184642,128.328881099,49.9811849761,-0.0237493019492,
 ,0.72,1.10169815646,4.33937132178,0.0629788200316,128.551554508,49.9838601533,-0.0221123996277,
 ,0.74,1.10264295946,4.42882448901,0.0630629027198,128.760818387,49.9863432352,-0.0205483007366,
 ,0.76,1.10349629914,4.50232120162,0.0631398190015,128.956134449,49.9886451067,-0.0190659480611,
 ,0.78,1.10424044863,4.56105035149,0.0632089709083,129.136830618,49.9907769196,-0.0176697759526,
 ,0.8,1.10486082369,4.60612295517,0.0632698879313,129.302142094,49.9927496786,-0.016360535476,
 ,0.82,1.10534647447,4.63857573903,0.0633222014547,129.45125105,49.9945739796,-0.0151363728932,
 ,0.84,1.10569037444,4.65937494037,0.0633656187923,129.583321992,49.9962599024,-0.0139939971523,
 ,0.86,1.10588948319,4.66941947316,0.0633999007518,129.697529735,49.9978170352,-0.0129297562429,
 ,0.88,1.10594458417,4.66954294013,0.0634248469314,129.79307769,49.9992545916,-0.0119404857186,
 ,0.9,1.10585992526,4.66051426479,0.0634402923603,129.869205774,50.0005815821,-0.0110240777355,
 ,0.92,1.10564271492,4.64303687907,0.0634461176113,129.925189333,50.0018070113,-0.0101798115792,
 ,0.94,1.10530254576,4.61774640575,0.0634422723812,129.960332512,50.0029400904,-0.00940855164226,
 ,0.96,1.10485082464,4.58520665813,0.0634288102271,129.973961005,50.0039904706,-0.00871293332582,
 ,0.98,1.10430028198,4.54590363248,0.0634059301816,129.965419529,50.004968513,-0.00809761766266,
 ,1.0,1.10366461286,4.50023710229,0.06337401974,129.934078706,50.0058856041,-0.00756961626615,
 ,1.02,1.10295827204,4.44850952854,0.0633336933523,129.879354386,50.0067545094,-0.00713859707886,
 ,1.04,1.10219641092,4.39091232134,0.0632858209224,129.800740216,50.0075897343,-0.00681701076048,
 ,1.06,1.10139491386,4.32750999418,0.0632315416655,129.69785183,50.0084078336,-0.00661985543796,
 ,1.08,1.10057047111,4.25822334648,0.0631722597703,129.570479033,50.0092275987,-0.00656393806724,
 ,1.1,1.09974061934,4.18281334875,0.0631096196181,129.418640914,50.0100700474,-0.00666658755698,
 ,1.12,1.09892368957,4.10086774696,0.0630454599213,129.242638271,50.0109581634,-0.00694390141431,
 ,1.14,1.09813862256,4.01179245141,0.0629817482013,129.043097914,50.0119163619,-0.00740872603283,
 ,1.16,1.0974046386,3.91480950745,0.0629204995166,128.821004131,50.0129697009,-0.00806864609974,
 ,1.18,1.09674077565,3.80896290879,0.0628636859894,128.577713589,50.0141428922,-0.00892427231348,
 ,1.2,1.09616533215,3.6931328081,0.0628131459544,128.314951036,50.0154591982,-0.0099680706895,
 ,1.22,1.09569526516,3.56605792034,0.062770502836,128.034784297,50.0169393106,-0.0111838881738,
 ,1.24,1.09534559954,3.42636521614,0.0627371036403,127.739578363,50.0186003108,-0.0125472199435,
 ,1.26,1.09512890129,3.27260546283,0.0627139849698,127.431929937,50.0204547911,-0.0140261525739,
 ,1.28,1.09505485852,3.10329286299,0.0627018708902,127.114585567,50.0225101941,-0.0155828191048,
 ,1.3,1.09512999977,2.91694700371,0.062701202324,126.790348267,50.0247683895,-0.0171751310985,
 ,1.32,1.0953575631,2.71213555194,0.062712192785,126.461978836,50.0272254738,-0.0187585238764,
 ,1.34,1.09573751168,2.48751654392,0.06273490115,126.132098601,50.0298717488,-0.0202874757767,
 ,1.36,1.09626667563,2.24187960113,0.0627693096326,125.803099728,50.0326918193,-0.0217166404108,
 ,1.38,1.0969389861,1.97418582713,0.0628153946273,125.477067734,50.0356647514,-0.0230015452037,
 ,1.4,1.09774576026,1.68360638931,0.0628731795785,125.155718738,50.0387642485,-0.0240989282048,
 ,1.42,1.09867599554,1.36955981609,0.062942761991,124.840351953,50.0419588304,-0.0249668736467,
 ,1.44,1.09971664001,1.03174786107,0.0630243103764,124.53181656,50.0452120259,-0.0255649416177,
 ,1.46,1.10085282188,0.670189472348,0.0631180305924,124.23049186,50.0484826116,-0.0258544649017,
 ,1.48,1.10206804111,0.28525205309,0.063224104209,123.936280433,50.0517249394,-0.0257991212796,
 ,1.5,1.10334434603,-0.122321102744,0.063342604074,123.648615525,50.054889393,-0.0253658069955,
 ,1.52,1.10466253147,-0.551388503358,0.0634733942669,123.366485283,50.0579230019,-0.0245257612224,
 ,1.54,1.10600239939,-1.00039463127,0.0636160232766,123.08847689,50.0607702265,-0.0232558401012,
 ,1.56,1.10734311559,-1.46736185878,0.0637696205986,122.812842542,50.0633739102,-0.0215398209137,
 ,1.58,1.10866367977,-1.94989118939,0.0639328078711,122.537586701,50.0656763814,-0.0193696308852,
 ,1.6,1.10994350353,-2.44517268121,0.0641036358631,122.260570586,50.0676206843,-0.0167464304157,
 ,1.62,1.11116306797,-2.95000617962,0.0642795576942,121.979626582,50.0691519118,-0.0136815200138,
 ,1.64,1.1123046142,-3.460832772,0.0644574463265,121.692673227,50.0702186181,-0.0101970659767,
 ,1.66,1.11335280871,-3.97377716409,0.0646336605874,121.397821181,50.0707742887,-0.00632664097102,
 ,1.68,1.11429532401,-4.48470093189,0.0648041590989,121.093462366,50.0707788375,-0.0021155535584,
 ,1.7,1.11512328045,-4.98926629352,0.0649646561983,120.778337548,50.0702000969,0.00237909149673,
 ,1.72,1.11583150711,-5.48300966035,0.0651108091364,120.451581271,50.069015249,0.00708868499348,
 ,1.74,1.11641859429,-5.96142378126,0.0652384223893,120.112746199,50.0672121383,0.0119338448936,
 ,1.76,1.116886726,-6.42004681829,0.0653436533412,119.761811128,50.0647903972,0.0168256591707,
 ,1.78,1.11724129724,-6.85455622063,0.0654232039654,119.399177789,50.0617623106,0.021667481335,
 ,1.8,1.11749033726,-7.26086482254,0.0654744850886,119.025661349,50.05815335,0.0263572849478,
 ,1.82,1.11764377675,-7.63521620501,0.0654957427628,118.642478565,50.0540023114,0.0307905462424,
 ,1.84,1.11771261419,-7.97427606324,0.0654861395955,118.251236218,50.0493610043,0.0348635816758,
 ,1.86,1.11770805059,-8.27521615513,0.065445787197,117.853921117,50.0442934569,0.0384772174907,
 ,1.88,1.11764067204,-8.53578741439,0.0653757290156,117.452891686,50.0388746291,0.0415406162156,
 ,1.9,1.11751975971,-8.75437902203,0.0652778757703,117.050870001,50.0331886523,0.0439750435851,
 ,1.92,1.11735279661,-8.93006064091,0.0651548984996,116.65093205,50.0273266501,0.0457173425652,
 ,1.94,1.11714521841,-9.06260560272,0.0650100869137,116.256493065,50.0213842158,0.0467228942302,
 ,1.96,1.11690042457,-9.15249356196,0.064847183114,115.871284114,50.0154586483,0.0469678809694,
 ,1.98,1.11662003208,-9.20089196609,0.064670202535,115.499316053,50.0096460602,0.0464507116319,
 ,2.0,1.11630432255,-9.20961661448,0.0644832548548,115.144827613,50.0040384823,0.0451925099465,
