Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Phasor-19 Name(upto 16-char),Phasor-19 Type(v/c),Phasor-19 PHNMR(scaling),Phasor-20 Name(upto 16-char),Phasor-20 Type(v/c),Phasor-20 PHNMR(scaling),Phasor-21 Name(upto 16-char),Phasor-21 Type(v/c),Phasor-21 PHNMR(scaling),
Configuration Field Inputs,50,50,21,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,I19,c,100,I20,c,100,I21,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Phasor-19 Magnitude,Phasor-19 Angle,Phasor-20 Magnitude,Phasor-20 Angle,Phasor-21 Magnitude,Phasor-21 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.15500000052,-11.4418146565,0.927995592576,-113.302752813,1.71001735976,174.460924617,0.0881988509428,-116.775995346,10.0075018529,-127.296001767,0.900095756366,-68.4097484967,0.0596529000628,-72.8199702297,0.0663799398211,-82.8130569904,1.86804063292,-72.435803717,0.47993959602,-52.4017454737,0.104706169818,-45.0793621476,0.0981995419667,-148.252463301,0.105968035087,-148.75224659,0.0500600754803,-48.9199233243,0.412596369472,-49.7099946668,17.9662474075,-46.3235215672,1.61701382358,-134.224206692,0.0069803721349,-96.8446910235,7.12657165623,-90.1119054674,7.09402091292,-119.722166927,0.718548534536,-174.486800461,49.9999999523,1.82328312505,
 ,0.02,1.15500000055,-11.4418146035,0.927995592566,-113.302752974,1.71001735523,174.460924688,0.0881988511291,-116.775999582,10.0075018263,-127.296001197,0.90009575849,-68.40974832,0.0596529001491,-72.8199701245,0.0663799403879,-82.8130564589,1.86804063758,-72.4358035556,0.479939596356,-52.4017454287,0.104706174182,-45.0793628299,0.0981995439661,-148.252463933,0.105968039511,-148.752248147,0.0500600764126,-48.9199236247,0.412596369692,-49.7099946287,17.9662471429,-46.3235217759,1.61701386414,-134.224208696,0.00698037391311,-96.8446541753,7.12657165753,-90.111905401,7.09402090858,-119.722166786,0.718548548048,-174.486800594,49.999999977,0.67074826929,
 ,0.04,1.15500000062,-11.4418144388,0.927995593316,-113.302753563,1.7100173413,174.460924906,0.0881988519969,-116.776012795,10.0075017435,-127.295999457,0.900095765231,-68.4097477461,0.0596529004443,-72.8199697467,0.0663799421097,-82.8130544411,1.86804065269,-72.4358029599,0.479939597138,-52.4017452962,0.104706175094,-45.0793628461,0.0981995497204,-148.252466412,0.105968051241,-148.75225267,0.0500600768972,-48.919923671,0.412596370308,-49.7099945054,17.9662463508,-46.3235223936,1.61701398354,-134.224214871,0.0069803736523,-96.8446602146,7.12657165805,-90.1119053385,7.09402089495,-119.72216635,0.718548608873,-174.486800926,49.9999999763,0.246754507871,
 ,0.06,1.15500000073,-11.4418141617,0.927995594456,-113.302754545,1.71001731811,174.460925271,0.0881988533992,-116.77603464,10.0075016071,-127.295996578,0.900095776987,-68.4097467529,0.0596529009796,-72.8199690774,0.0663799448281,-82.8130512054,1.8680406784,-72.435801945,0.479939598441,-52.4017450741,0.104706175725,-45.0793627418,0.0981995592835,-148.252470579,0.105968070278,-148.752260072,0.0500600775626,-48.9199236476,0.412596371232,-49.7099942935,17.9662450466,-46.3235234045,1.61701417987,-134.224225037,0.00698037302037,-96.8446847386,7.12657165915,-90.1119052076,7.0940208734,-119.722165649,0.718548705498,-174.486801457,49.9999999661,0.0907759638497,
 ,0.08,1.15500000089,-11.4418137671,0.927995595967,-113.302755954,1.71001728555,174.460925789,0.088198855336,-116.776064997,10.0075014184,-127.295992585,0.900095794547,-68.4097452813,0.0596529018204,-72.8199680576,0.0663799483507,-82.8130469681,1.86804071546,-72.435800487,0.479939600275,-52.401744757,0.104706176491,-45.0793625812,0.0981995726299,-148.252476397,0.105968096095,-148.752270113,0.0500600784037,-48.9199235986,0.412596372323,-49.7099939826,17.9662432537,-46.3235247805,1.61701444933,-134.224238978,0.00698037216807,-96.8447214613,7.12657166157,-90.1119049929,7.09402084536,-119.722164715,0.718548837634,-174.486802179,49.999999952,0.0333946828047,
 ,0.1,1.15498189343,-11.4414233431,0.927845633885,-113.298588478,1.70995138924,174.458418849,0.0881848258468,-116.772446306,10.0060455026,-127.295102862,0.900723717954,-68.4661612342,0.0598158397267,-73.0371349547,0.0694163828875,-85.1202160708,1.88326494575,-73.0175505757,0.479947143574,-52.4048241129,0.10477882082,-45.491809647,0.100577533899,-147.453635404,0.116687091084,-144.833792478,0.0504208131526,-50.6879044472,0.412595219761,-49.7093112857,17.9661732422,-46.3215095504,1.6218249747,-134.177602228,0.0078471316452,-100.002828705,7.1387418379,-90.1887121254,7.09320844028,-119.721017029,0.718515508404,-174.489064404,49.9999663048,0.0124266586337,
 ,0.12,1.15498196423,-11.4412130428,0.927846699993,-113.296425544,1.70993485504,174.458688393,0.088184793316,-116.770394073,10.0059739523,-127.293609115,0.900642839794,-68.4722757049,0.0598001000824,-73.0555303202,0.0693257711684,-85.3126323666,1.88235010671,-73.0610006976,0.479961305587,-52.405289608,0.104737104654,-45.5001678085,0.100848060661,-147.572018164,0.117734471545,-145.185704821,0.0503441535521,-50.7389488266,0.412597714335,-49.709245934,17.9663000632,-46.3212523369,1.62239217433,-134.20521323,0.00784516320191,-100.962139713,7.13821144589,-90.2008628255,7.09317156153,-119.719666304,0.718507457817,-174.48872423,49.9999675189,0.00457840011993,
 ,0.14,1.15500047142,-11.4411089766,0.928001108991,-113.295507045,1.70996084341,174.461872559,0.0881989236315,-116.769165855,10.0072751788,-127.290910627,0.899808799594,-68.4304599095,0.0595945973741,-72.8836110011,0.0659971631272,-83.4983455991,1.86455285957,-72.5858088978,0.479980477103,-52.4031030576,0.104574877626,-45.1102577709,0.0990900148108,-148.650239398,0.109547454547,-149.924540094,0.049807708801,-49.0903250358,0.412604476248,-49.7097665744,17.966666667,-46.3227018611,1.61885959129,-134.315232228,0.00696468762205,-99.8610442063,7.12444794539,-90.1551963542,7.09390676316,-119.717621206,0.718521996642,-174.48562378,49.9999765522,0.00166925309941,
 ,0.16,1.15500134557,-11.4405308977,0.928009704006,-113.289561495,1.7099142035,174.462751114,0.0881993512439,-116.763443227,10.0071268461,-127.286715154,0.899554551796,-68.4454351498,0.0595412112774,-72.9278438122,0.0656764575158,-83.8720624168,1.86160060045,-72.6754361633,0.480003344432,-52.4036482989,0.104506867147,-45.122674035,0.0996662115535,-148.939483132,0.111596282495,-150.712278809,0.0496680892969,-49.1570838123,0.412611059068,-49.709548798,17.9669845095,-46.3220862598,1.62021243203,-134.387579884,0.00695358954625,-101.332063043,7.12233806371,-90.1878368002,7.09383394439,-119.713892421,0.718500229271,-174.484577162,49.9999394329,0.000795199294189,
 ,0.18,1.15500233602,-11.4397548179,0.928019725459,-113.281582327,1.70984978953,174.463908106,0.0881997855949,-116.755749867,10.006916799,-127.281132929,0.89921628422,-68.4662522382,0.0594689691089,-72.9906249564,0.0653238303836,-84.3395985476,1.85791374911,-72.7961147928,0.480017998193,-52.403822633,0.104407169568,-45.1390955022,0.100384502266,-149.279497832,0.113953159978,-151.514133581,0.049471002216,-49.2535141202,0.41261916449,-49.7091826975,17.9673424253,-46.3212651551,1.62201561578,-134.481925218,0.00694916085538,-103.283263918,7.11977632404,-90.2296228651,7.09372964693,-119.708947134,0.718470760634,-174.48320031,49.9999078683,0.000452018325075,
