Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),
Configuration Field Inputs,50,50,11,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Frequency,ROCOF,
 ,0.2,1.10349656547,-12.4905937728,1.41709984695,-99.5258172867,1.59362162049,-95.1769075498,0.368848648238,-173.703687327,0.263904148785,-171.88881271,0.137092640323,-71.7224240764,0.052028559899,-148.569514103,0.0381364019982,-154.67228139,0.895482415144,-94.4744349283,0.142276429498,-79.6755606335,0.510841105496,-34.2627734055,49.9180697506,0.104564790943,
 ,0.22,1.10215677118,-11.8242400165,1.41519163667,-98.8248774529,1.59155500699,-94.4136272771,0.377173167484,-173.338462345,0.269740585452,-171.553057852,0.137267921691,-70.5925011939,0.0522793162698,-148.084481621,0.0389126447684,-154.860491522,0.894295444088,-90.8121199134,0.142134645269,-78.5918535464,0.538141852602,-32.3215753391,49.9118498582,0.0673388087877,
 ,0.24,1.10087360569,-11.1650774718,1.41337179087,-98.1337514959,1.58958602218,-93.6649060965,0.385000153089,-172.939465996,0.275194534072,-171.184091837,0.137377241243,-69.5160515872,0.0523123345124,-147.491038622,0.039612400558,-154.941021718,0.895314132407,-87.3587009423,0.141917395213,-77.6160194247,0.563293860752,-30.6222752903,49.9098481922,0.0336942543721,
 ,0.26,1.09968613756,-10.515800937,1.41169392023,-97.4555673998,1.58777558486,-92.9346758499,0.392241176432,-172.510102318,0.280200638712,-170.784489451,0.137426000216,-68.5019289909,0.0521217848767,-146.788014153,0.040219325738,-154.914839021,0.898117983807,-84.1644623302,0.141631448725,-76.7570501416,0.585869338792,-29.1383233198,49.9098707793,0.0117183275779,
 ,0.28,1.0986234623,-9.87858833422,1.41019765824,-96.7928618834,1.58616760495,-92.2261292023,0.398824034837,-172.05307875,0.284705168985,-170.356689155,0.137419777771,-67.5563874596,0.0517174899795,-145.977251886,0.040719315076,-154.784849852,0.90218389745,-81.2678577633,0.141286761951,-76.0180838588,0.605540792009,-27.8451380148,49.9109161115,-0.00124588843061,
 ,0.3,1.09770759395,-9.25523571776,1.40891292924,-96.1477187789,1.58479482364,-91.541873489,0.404688720826,-171.570931318,0.288664721244,-169.903158369,0.137365426269,-66.6840148601,0.0511249235907,-145.063890988,0.0411013457141,-154.555012296,0.906958549659,-78.6968298558,0.140897565946,-75.3972032351,0.6220818836,-26.7215821843,49.9125268018,-0.00873616272779,
 ,0.32,1.09695414336,-8.64721765934,1.40786099948,-95.5218287825,1.58368036644,-90.8839924406,0.409786507568,-171.066233424,0.292045480586,-169.426406773,0.137270980207,-65.8880562395,0.0503834736434,-144.057608449,0.0413579539332,-154.229772818,0.911905805727,-76.4702976075,0.140481777731,-74.8879386428,0.635365688436,-25.7500349296,49.9144856436,-0.0131819696885,
 ,0.34,1.09637256667,-8.05572204973,1.40705485315,-94.9165224602,1.58283831348,-90.2540770075,0.414079778202,-170.54168446,0.294822945417,-168.928997596,0.137145180387,-65.1705252072,0.0495434102972,-142.97443892,0.0414854981208,-153.813706901,0.916542242147,-74.5997922871,0.140059650269,-74.4797776611,0.645360949854,-24.9160325042,49.9166795908,-0.0159658590668,
 ,0.36,1.09596644378,-7.48167522801,1.40649955896,-94.3327934819,1.58227416535,-89.6532454181,0.417542160526,-170.000144766,0.296981914582,-168.41356287,0.13699689887,-64.5322296301,0.0486619025287,-141.838611183,0.0414842603878,-153.311333734,0.920464332684,-73.0910199514,0.139652083307,-74.1587873104,0.652126477707,-24.2077684761,49.9190408527,-0.0178091702547,
 ,0.38,1.09573393492,-6.92576658425,1.40619285033,-93.7713219591,1.581985509,-89.0821641884,0.420158732203,-169.444653684,0.298516543943,-167.882829092,0.136834615983,-63.9727848501,0.0477985082263,-140.683649276,0.0413584140339,-152.727089391,0.923368778024,-71.9451742565,0.139278912436,-73.9084049372,0.655803664076,-23.6155642563,49.9215222731,-0.019074995665,
