Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Phasor-19 Name(upto 16-char),Phasor-19 Type(v/c),Phasor-19 PHNMR(scaling),
Configuration Field Inputs,50,50,19,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,I16,c,100,I17,c,100,I18,c,100,I19,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Phasor-19 Magnitude,Phasor-19 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.09726584981,-12.169393975,0.341397742303,-56.7028533109,0.265514611743,-179.852572193,0.119579395528,-76.3768144978,0.101662736616,-66.799478621,0.224126915796,139.744043619,0.195618131146,165.097138364,0.228112757157,5.67738268775,0.605648875164,-16.7732189066,0.089842209036,-59.2040822671,0.139774301261,-120.274518216,0.0139364322935,-122.744523862,0.192502480265,-156.028716478,5.47862878069,-152.744823148,5.61729035546,-156.988794369,0.210584434614,-76.1784607072,0.0632254629922,-70.0006442397,0.188301060788,-154.411870242,0.124297354843,-35.3744339598,49.9999977743,1.84069941937,
 ,0.02,1.09726582347,-12.1693916444,0.341397746148,-56.70286313,0.265514461835,-179.852600593,0.119579387648,-76.3768065382,0.101662732486,-66.7994694573,0.224126855942,139.743938892,0.195618190191,165.097150646,0.228112797001,5.67738883983,0.605648914468,-16.7732207293,0.0898422107765,-59.2040712071,0.13977427572,-120.274511115,0.0139364297237,-122.744518559,0.192502441295,-156.028717404,5.47862933353,-152.744819611,5.61729092229,-156.988790832,0.210584427534,-76.1784359988,0.0632254617564,-70.0006344905,0.188301021675,-154.411870834,0.124297380996,-35.3744203116,49.9999989994,0.67714963302,
 ,0.04,1.09726581849,-12.1693902595,0.341397743859,-56.7028633926,0.265514447668,-179.852602294,0.11957938691,-76.3768048062,0.101662731402,-66.7994673407,0.224126851046,139.743927881,0.195618200023,165.097152882,0.228112809143,5.6773897729,0.605648918605,-16.7732190677,0.0898422111485,-59.2040687053,0.139774281,-120.274513128,0.0139364297729,-122.74451957,0.192502439874,-156.02871702,5.47862939205,-152.744818234,5.61729098229,-156.988789455,0.210584435003,-76.1784284167,0.063225461202,-70.0006325023,0.188301019518,-154.411870397,0.124297404048,-35.3744148369,49.9999995079,0.249107093802,
 ,0.06,1.09726581501,-12.1693883549,0.341397741102,-56.7028625064,0.26551444872,-179.852601729,0.119579386101,-76.37680305,0.101662730302,-66.7994653938,0.224126859324,139.743924555,0.195618207773,165.097154775,0.228112822538,5.67739042683,0.605648917112,-16.7732168793,0.0898422112987,-59.2040666085,0.139774294635,-120.274517874,0.0139364303795,-122.744522524,0.192502444988,-156.028716349,5.47862941024,-152.744816404,5.61729100094,-156.988787625,0.210584448593,-76.1784203241,0.0632254604179,-70.0006310462,0.188301023396,-154.411869702,0.124297437771,-35.3744081695,49.9999996473,0.0916407673105,
 ,0.08,1.09726581141,-12.1693858161,0.341397738019,-56.7028610318,0.265514455396,-179.852600507,0.119579384853,-76.3768008288,0.101662728955,-66.7994630784,0.224126876196,139.7439229,0.195618217428,165.097157061,0.228112839338,5.67739118224,0.605648915022,-16.7732142838,0.089842211391,-59.204064205,0.139774313691,-120.27452426,0.0139364313498,-122.744526915,0.192502453981,-156.028715432,5.47862942214,-152.744813964,5.61729101315,-156.988785185,0.210584467618,-76.1784101562,0.0632254593852,-70.0006294583,0.188301030716,-154.411868775,0.124297482319,-35.3743996812,49.9999996427,0.0337128107764,
 ,0.1,0.401374835944,-1.50085486595,1.51423050655,96.572526746,0.982413076393,-77.2056984838,0.101552207833,-78.5815277802,0.106596913709,-78.0611956544,4.7304512627,-83.9327008375,1.01214995771,102.653078635,0.288148052127,-6.0756288165,0.279120458622,-3.14539215713,0.194508098456,54.9205417378,0.40739100921,79.971414358,0.037452078567,86.9955061783,0.267587779972,103.88410587,6.07160960814,125.055385672,6.22527925494,120.811414451,1.10337698718,63.8047217344,0.110962923841,56.2178349772,0.262242334841,102.908329885,0.486847348998,56.1604351182,47.5135360931,10.9007812266,
 ,0.12,0.395808435516,-0.100381057458,1.4908122349,98.2339776178,0.950698017679,-73.159051072,0.0992474208184,-75.7483843743,0.104046642869,-75.1912412018,4.62240022694,-81.7783153709,1.00685385208,105.619441751,0.301650710961,-3.39020429132,0.298033944794,-4.70116816859,0.197990980669,54.7663762517,0.411755877624,79.8057547853,0.0378488045575,87.1351442103,0.272404487791,103.087749819,6.02555580853,128.138596235,6.17805985485,123.894625014,1.1199837203,63.3450404978,0.11318522817,55.9981125675,0.267136176102,102.058490664,0.493892343984,55.7347866832,48.8819378532,-2.49474180949,
 ,0.14,1.07770218603,-9.9659964877,0.334980678155,-58.5413431785,0.20667942795,171.816402716,0.115902896301,-72.6058795855,0.0989525362974,-62.4543044596,0.237081727697,110.367574113,0.237105487074,170.464378366,0.253340342114,8.85318742631,0.626914757852,-15.7214170849,0.0921116963208,-50.8280665728,0.123586344661,-115.193865155,0.0125377923802,-121.381238142,0.182661894146,-157.254317348,5.6658559878,-150.604069964,5.80925619707,-154.848041185,0.22016776124,-56.3939947984,0.0630945936603,-61.9694125587,0.177573846832,-155.562597604,0.14784643484,-25.8782732303,50.2450953584,-6.95323074248,
 ,0.16,1.0834654957,-9.63790170451,0.329816836375,-56.2326053061,0.222911896963,-178.913581378,0.117456960797,-73.641287727,0.0998719258873,-63.8199303389,0.209450231751,132.895634322,0.218114754867,168.151634735,0.251869825565,7.65232036576,0.602950534097,-14.429856226,0.0930318402278,-51.8914664208,0.131788299582,-116.530645161,0.0134336358539,-123.36991147,0.199001200797,-156.528162305,5.54289411116,-150.648837079,5.68318221189,-154.8928083,0.229891657047,-57.87699992,0.063999120528,-62.6134343405,0.193412516829,-154.973178763,0.15256037914,-26.9957083819,50.0588695984,-1.64908301141,
 ,0.18,1.08278035383,-8.87707749357,0.32681595316,-55.8707413934,0.213077265495,-177.693357514,0.117274504198,-73.0618145887,0.0997997822455,-63.2864599746,0.205013959559,134.818572624,0.22162965679,168.475783325,0.25777918034,7.81591049614,0.598701586635,-13.628215372,0.0943526827213,-50.6268494368,0.133114433259,-115.816517212,0.013700213423,-124.114012175,0.205962616001,-156.23754235,5.54881173505,-150.076500386,5.68924960812,-154.320471606,0.24125032848,-54.6300259469,0.0646485963843,-61.1654911272,0.199905902644,-154.743700185,0.161412515234,-25.846379559,49.9591681384,-0.138300198457,
