Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.06599949672,2.97602179058,0.0309401766383,8.15644984986,2.54589679668,-120.035086109,0.446506444607,17.7502664142,0.0179201513363,-71.9847989807,49.9999932237,-0.440357324121,
 ,0.02,1.06599949137,2.9760232761,0.030940176462,8.15645048039,2.54589675929,-120.035081638,0.446506456694,17.7502663724,0.0179201530599,-71.9847823605,49.9999973579,-0.162017407678,
 ,0.04,1.06599948205,2.97602735501,0.0309401809257,8.15645279171,2.54589650444,-120.035069057,0.446506510843,17.7502679449,0.0179201597271,-71.9847279609,49.9999986515,-0.0596087230583,
 ,0.06,1.06599946738,2.97603395767,0.0309401885983,8.15645664006,2.54589604537,-120.03504804,0.446506606276,17.7502706348,0.0179201706064,-71.9846394825,49.9999989063,-0.0219298659262,
 ,0.08,1.06599944739,2.97604300776,0.0309401992313,8.15646196632,2.54589539656,-120.035018921,0.446506740454,17.7502743584,0.0179201853912,-71.9845190022,49.9999987859,-0.00806685629103,
 ,0.1,0.816494689058,9.22245622217,0.0412077354264,-63.2843316458,6.32766868904,-95.5727981747,0.575053634291,-57.4084671394,0.0149531993425,-8.0131218321,49.3145414587,2.72438195814,
 ,0.12,0.815843676321,9.74269685219,0.0412471116117,-62.7701802486,6.32680212605,-94.8434691123,0.577106638926,-56.6848135888,0.0153524804952,-7.24914432286,49.6922147668,-0.708406519946,
 ,0.14,1.06153923006,4.78116346561,0.0305058031617,8.69079232365,2.59815470912,-117.238324967,0.442097226722,18.2211789461,0.0185029543211,-65.198173327,50.2429447729,-2.55106341645,
 ,0.16,1.06119746013,5.76140708228,0.0312846529436,9.62228113224,2.55668808329,-115.344214729,0.449924997468,19.1524012004,0.0190652899158,-61.4060290127,50.0082709616,0.160044887712,
 ,0.18,1.06011558373,6.7998113986,0.0316896455688,10.4196499581,2.53643238434,-113.431523728,0.454930593504,19.912301197,0.0195508489073,-57.9786124797,49.9141509217,0.496488829852,
 ,0.2,1.05893589766,7.83349845753,0.0320616103998,11.1964112999,2.5186487722,-111.503298023,0.45972781201,20.6443820321,0.0199940687267,-54.9040645191,49.8784635727,0.347965567074,
 ,0.22,1.05775028788,8.85429962369,0.0324260870501,11.9640068228,2.50211743632,-109.586801658,0.464424172846,21.3676388996,0.0203792488134,-52.1912307209,49.8659376148,0.185340425912,
