Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),
Configuration Field Inputs,50,50,1,0,0,15,V1,v,10000,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.00589996775,12.9679271753,49.9999992812,-1.79629252041,,
 ,0.02,1.00589995862,12.9679285546,49.9999996223,-0.660820725413,,
 ,0.04,1.00589995542,12.9679297501,49.9999997534,-0.243102945574,,
 ,0.06,1.00589995338,12.9679314133,49.9999997595,-0.0894325742087,,
 ,0.08,1.00589995176,12.9679336225,49.9999997135,-0.0329001617659,,
 ,0.1,0.7351959058,22.2779449591,48.8973181643,4.80243625297,,
 ,0.12,0.724228374803,24.1571520129,49.4030280529,-0.614753392907,,
 ,0.14,0.979674387463,16.2984449574,50.3704968946,-4.47937291794,,
 ,0.16,0.98389552965,16.9081252797,50.080101456,-0.257663037733,,
 ,0.18,0.98355103103,17.9079747801,49.9438310556,0.541731441486,,
 ,0.2,0.982689907751,18.9215979407,49.8914295641,0.441322668171,,
 ,0.22,0.98182472157,19.901447017,49.874575355,0.238338978806,,
 ,0.24,0.981047343981,20.8354363627,49.8722362628,0.0958154310585,,
 ,0.26,0.980394196305,21.716389501,49.8760138907,0.014653196992,,
 ,0.28,0.979889540447,22.5387485534,49.8825783027,-0.0284032283402,,
 ,0.3,0.979551335358,23.2981743225,49.8905602409,-0.0510205577479,,
 ,0.32,0.979392196641,23.9914892569,49.8993398061,-0.063178228569,,
 ,0.34,0.97941953882,24.6166694481,49.9085819425,-0.0698700947786,,
 ,0.36,0.979635608211,25.1728376273,49.9180602587,-0.073438486383,,
 ,0.38,0.980037592393,25.6602443197,49.9275914562,-0.074946769505,,
 ,0.4,0.980617859304,26.0802328756,49.937012004,-0.0748804938254,,
 ,0.42,0.981364330251,26.4351871924,49.9461708452,-0.0734797324412,,
