Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),
Configuration Field Inputs,50,50,15,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.05300000003,-9.83032702019,0.269698055209,-37.8467807479,0.995647464538,174.666719815,14.2982686722,161.709500874,0.626608234578,-47.1242561315,9.07535811367,-18.0564168475,0.186355974253,-29.6232123579,0.0803895628523,-39.4459688762,1.08036071472,-45.5869816271,0.327819153124,-35.6828262539,0.00495598780089,175.937068466,10.0075018529,52.7039982334,0.447176717526,-48.5493316388,0.222416799736,-126.610896618,7.1966582253,171.400101481,50.0000000028,1.43064219877,
 ,0.02,1.05300000003,-9.83032702176,0.269698043857,-37.8467813769,0.995647464693,174.666719823,14.2982686842,161.709500882,0.626608048913,-47.1242641846,9.07535807178,-18.0564168458,0.186355973305,-29.6232123674,0.0803895634435,-39.4459689369,1.08036071246,-45.5869816695,0.327819146808,-35.6828261583,0.00495598869593,175.937065725,10.0075018263,52.7039988032,0.447176712692,-48.5493317695,0.222416800004,-126.610897304,7.19665842044,171.400101684,50.0000000012,0.526303860167,
 ,0.04,1.05300000004,-9.83032702367,0.269698007894,-37.8467835752,0.995647465793,174.66671985,14.2982687205,161.709500907,0.626607474381,-47.1242899461,9.07535795042,-18.0564168337,0.18635597063,-29.6232123756,0.0803895657506,-39.445968747,1.08036070739,-45.5869817171,0.327819127836,-35.6828258697,0.00495599140432,175.937056844,10.0075017435,52.7040005433,0.447176696351,-48.5493322825,0.222416800848,-126.610899387,7.19665924313,171.400102975,50.0000000006,0.193616372733,
 ,0.06,1.05300000007,-9.83032702168,0.269697948246,-37.8467871903,0.995647467513,174.666719895,14.2982687785,161.709500951,0.62660652409,-47.1243324541,9.07535776075,-18.0564168095,0.18635596644,-29.6232123818,0.0803895692852,-39.4459684238,1.08036069979,-45.586981778,0.327819096583,-35.6828253885,0.00495599586393,175.937042183,10.0075016071,52.7040034219,0.4471766696,-48.5493331027,0.222416802295,-126.61090289,7.19666055606,171.400105016,50.0,0.0712274862239,
 ,0.08,1.0530000001,-9.83032700775,0.269697864772,-37.8467922258,0.995647469636,174.666719961,14.2982688541,161.709501018,0.626605203598,-47.124391478,9.07535752079,-18.0564167678,0.186355961115,-29.6232123787,0.0803895735764,-39.4459680132,1.08036069068,-45.5869818379,0.327819053564,-35.6828247148,0.00495600199282,175.937022036,10.0075014184,52.7040074154,0.447176632864,-48.5493342136,0.222416804409,-126.610907864,7.19666235436,171.400107803,49.9999999987,0.0262031349906,
 ,0.1,1.05299638956,-9.83021413736,0.269705233539,-37.8397299601,0.995700428681,174.668759458,14.2982543397,161.709018092,0.62660769399,-47.1163676796,9.07226579373,-18.1439211543,0.186271063196,-29.9348160313,0.0809492690167,-44.0976693736,1.08215245532,-46.4963702741,0.327817780328,-35.6839590971,0.00498867622412,176.485852161,10.0060455026,52.7048971381,0.447175119767,-48.7576750076,0.222404386848,-126.609753929,7.19660029042,171.399414028,49.9999901891,0.00968152069344,
 ,0.12,1.05299645892,-9.83014032907,0.26971580837,-37.8391609273,0.995727069324,174.669341495,14.2982340844,161.709072647,0.626631903003,-47.1153817144,9.07054287631,-18.1444215459,0.186180036963,-29.9398583056,0.080589014842,-44.2264481396,1.08105201126,-46.5232824683,0.327817154032,-35.6839467654,0.00499950959357,176.454824168,10.0059739523,52.7063908845,0.447009336856,-48.7649229279,0.222403888452,-126.608698523,7.19656859586,171.399466842,49.9999893524,0.00356981695594,
 ,0.14,1.053000285,-9.83008498748,0.269732694841,-37.8450195606,0.995727305943,174.668440772,14.2981920827,161.709677974,0.626685713768,-47.1212316755,9.06941705287,-18.05726117,0.186031171771,-29.637463536,0.0790538915065,-39.7900271888,1.07637317007,-45.6707868781,0.327816698236,-35.6827849344,0.00499155463688,175.836213902,10.0072751788,52.7090893734,0.446574080066,-48.5723509813,0.222415365675,-126.607463723,7.19655786335,171.400291669,49.9999904714,0.00131636012262,
 ,0.16,1.05300061408,-9.8298832681,0.269762017256,-37.8436896727,0.995779326303,174.669730196,14.2981115322,161.709844593,0.62675601255,-47.1186552771,9.06467414037,-18.055077358,0.185768945837,-29.6379849757,0.0781971402077,-39.8833406036,1.07346426742,-45.7031301857,0.327814133338,-35.6826902436,0.0050188795038,175.74623869,10.0071268461,52.7132848461,0.446084792522,-48.5844240437,0.222414482165,-126.604670996,7.19646793735,171.400459725,49.9999783607,0.000543636523651,
 ,0.18,1.0530010128,-9.82960924906,0.269801684376,-37.8418051162,0.995835120795,174.671161486,14.2979856311,161.71005036,0.626851606822,-47.1150473631,9.05823902646,-18.0529353402,0.18540741253,-29.6411435589,0.0771823100232,-40.0359604479,1.06972037902,-45.7522980993,0.327809580288,-35.6825112164,0.00505490225276,175.632815998,10.006916799,52.7188670709,0.445465062749,-48.6014029295,0.222413150081,-126.601004245,7.19634465786,171.400677001,49.9999673448,0.000255952987023,
