Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.04400000049,-11.531058483,0.24517082184,-42.5903712023,0.439405275318,162.055806106,0.0367956078134,-163.57179536,0.269698055209,142.153219252,0.927995592576,66.6972471873,1.34531358601,-159.223697191,13.2136383679,165.872382224,49.9999999282,1.66073994839,
 ,0.02,1.04400000051,-11.5310584073,0.245170817906,-42.5903710361,0.439405273465,162.055806116,0.0367956448981,-163.571843534,0.269698043857,142.153218623,0.927995592566,66.6972470263,1.34531357584,-159.223696674,13.2136386229,165.872382504,49.9999999656,0.610951920892,
 ,0.04,1.04400000046,-11.5310581625,0.245170806336,-42.5903705023,0.439405267503,162.055806127,0.0367957609329,-163.571990948,0.269698007894,142.153216425,0.927995593316,66.6972464374,1.34531354026,-159.223695011,13.2136397591,165.872384018,49.9999999647,0.224756664647,
 ,0.06,1.0440000004,-11.5310577516,0.245170787324,-42.5903696187,0.439405257555,162.055806151,0.0367959525689,-163.572234763,0.269697948246,142.15321281,0.927995594456,66.6972454549,1.34531348238,-159.223692279,13.2136415599,165.872386425,49.9999999497,0.0826834350161,
 ,0.08,1.04400000032,-11.5310571654,0.245170761325,-42.5903683873,0.439405243489,162.055806191,0.0367962184695,-163.572573144,0.269697864772,142.153207774,0.927995595967,66.6972440464,1.34531340286,-159.223688495,13.2136440167,165.872389721,49.9999999287,0.0304176430204,
 ,0.1,1.04399994886,-11.5310538473,0.245168157824,-42.5925423206,0.439407882744,162.056106004,0.0367962741836,-163.573094896,0.269705233539,142.16027004,0.927845633885,66.7014115219,1.34532874092,-159.223559387,13.2136534788,165.872419327,49.9999996847,0.0111910757511,
 ,0.12,1.04399995378,-11.5310512263,0.245166325955,-42.5925592097,0.439409342859,162.056148273,0.0367966170891,-163.573482519,0.26971580837,142.160839073,0.927846699993,66.7035744558,1.34533215249,-159.223747379,13.2136602764,165.872422722,49.9999996391,0.00411729246756,
 ,0.14,1.04400001771,-11.5310486986,0.245164488268,-42.5904105683,0.439409755128,162.055930511,0.0367972206781,-163.573677282,0.269732694841,142.154980439,0.928001108991,66.7044929547,1.34532481103,-159.224329602,13.2136651771,165.872399066,49.999999623,0.00151497249841,
 ,0.16,1.04400003419,-11.5310421453,0.245158732662,-42.5903537629,0.43941307712,162.056031127,0.0367975584956,-163.573942165,0.269762017256,142.156310327,0.928009704006,66.7104385054,1.3453353482,-159.224947496,13.2136780984,165.872401266,49.9999992708,0.000559076096746,
 ,0.18,1.04400005632,-11.531032913,0.245150027585,-42.590227061,0.439417131957,162.056157224,0.0367978559329,-163.574095921,0.269801684376,142.158194884,0.928019725459,66.7184176731,1.34535117044,-159.225869507,13.213693814,165.872403648,49.9999988972,0.000207588909774,
 ,0.2,1.04400008701,-11.5310195957,0.245137137805,-42.5899868945,0.439422093775,162.056315549,0.0367980479185,-163.574024549,0.269856774759,142.160885235,0.928032673249,66.7293180297,1.34537522543,-159.2272617,13.2137133449,165.872406133,49.9999983895,7.89949866935e-05,
 ,0.22,1.04400012963,-11.5310003261,0.245118462397,-42.5895871194,0.439428264008,162.056518148,0.0367980469117,-163.573580001,0.269933822076,142.164747596,0.928049521819,66.7442371975,1.34541151665,-159.229342315,13.2137379377,165.872408752,49.9999976646,3.28141585583e-05,
 ,0.24,1.04400018822,-11.5309726022,0.245092075048,-42.5889726926,0.439435981505,162.056778761,0.0367977334885,-163.572566059,0.27004101416,142.17025984,0.928071191448,66.7644821074,1.34546537739,-159.232395936,13.2137690999,165.872411803,49.9999966349,1.73982347914e-05,
 ,0.26,1.04400026759,-11.5309330825,0.245055677864,-42.5880778016,0.439445619523,162.057112951,0.0367969460386,-163.570723214,0.270188521582,142.17803066,0.928098617972,66.7916014981,1.34554383082,-159.236790821,13.2138086395,165.872415983,49.9999951928,1.38513511221e-05,
 ,0.28,1.04400037348,-11.5308773432,0.245006551522,-42.5868243106,0.439457592422,162.057538748,0.0367954685217,-163.567711076,0.270388817736,142.188819729,0.928132782413,66.8274152536,1.3456559938,-159.242997868,13.213858698,165.872422574,49.9999932018,1.53710603562e-05,
 ,0.3,1.04400051269,-11.5307995894,0.244941510519,-42.5851203474,0.439472361572,162.05807728,0.0367930158819,-163.563087696,0.270656974724,142.203555624,0.928174747703,66.8740383422,1.34581352301,-159.251611091,13.2139217713,165.872433686,49.999990489,1.96407055079e-05,
 ,0.32,1.04400069318,-11.5306923152,0.244856865558,-42.582859057,0.43949043959,162.058753375,0.0367892168854,-163.556285398,0.271010921555,142.22334965,0.92822571469,66.9338980886,1.34603110182,-159.263369391,13.2140007144,165.872452562,49.9999868381,2.60301997486e-05,
