Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),
Configuration Field Inputs,50,50,4,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.12783297725,-7.41452087566,0.00211232178501,-48.1552684728,0.220680248906,152.596072144,0.141548663976,-76.6667999552,49.9999987328,1.15820886769,
 ,0.02,1.1278329633,-7.41451894013,0.00211232173287,-48.155266864,0.220680243456,152.596073746,0.141548661439,-76.6667991838,49.9999993828,0.426078081443,
 ,0.04,1.12783296032,-7.41451782514,0.00211232172315,-48.1552657957,0.220680242441,152.596074813,0.141548660927,-76.6667982486,49.9999996733,0.156744035242,
 ,0.06,1.12783295849,-7.41451631285,0.0021123217183,-48.1552643066,0.220680241933,152.596076303,0.141548660667,-76.6667968054,49.9999997435,0.0576626101192,
 ,0.08,1.12783295688,-7.41451429518,0.00211232171452,-48.1552623066,0.220680241541,152.596078302,0.141548660469,-76.6667948299,49.9999997248,0.0212130041342,
 ,0.1,0.522966770716,-0.995399750378,0.00120737384845,-56.1390500627,0.126437789346,144.647278893,0.102374936118,-73.0638498189,48.8147636194,5.1026066309,
 ,0.12,0.52033092515,-0.303382304972,0.00121037615045,-55.1360161405,0.126749787674,145.653723633,0.102182322614,-71.7433490015,49.4797899154,-1.26057170321,
 ,0.14,1.11428111268,-5.67127891139,0.00209659002368,-46.3127334227,0.219038536343,154.440908458,0.140209306637,-74.5105581459,50.1686085384,-3.51933298691,
 ,0.16,1.11728895127,-5.39797350514,0.00209006913029,-46.1463459507,0.218354489986,154.604476291,0.140079693561,-74.7393444153,50.0359727792,-0.643333778048,
 ,0.18,1.11685059288,-4.79329692898,0.00208628240878,-45.5711550398,0.217958293066,155.178960056,0.139911964584,-74.2608256314,49.9629159707,0.106683061813,
 ,0.2,1.11606509362,-4.16405572895,0.00208310503677,-44.9586057885,0.217625997926,155.791101952,0.139747824119,-73.7041033381,49.9322551487,0.182334107122,
 ,0.22,1.1152277496,-3.53268453843,0.002079810961,-44.3438246743,0.217281497924,156.405471149,0.139575630518,-73.1459316523,49.9200355245,0.123959020548,
 ,0.24,1.114398006,-2.90272316955,0.00207636041502,-43.731695583,0.216920604371,157.017148194,0.139396693168,-72.5961409314,49.9153893164,0.0670819000816,
 ,0.26,1.1136075136,-2.27635195263,0.00207280403382,-43.1243177255,0.216548601098,157.624032326,0.139214221888,-72.0571336718,49.9139046399,0.0313377473778,
 ,0.28,1.11287877627,-1.65532311711,0.00206918248845,-42.5233409537,0.216169733767,158.224473637,0.139030704741,-71.5306273048,49.9138050215,0.0116589333464,
 ,0.3,1.11222849732,-1.04110046211,0.00206552199062,-41.9301970277,0.21578673768,158.817039295,0.138847876353,-71.018237776,49.9143686182,0.00126308983647,
 ,0.32,1.11166862687,-0.434941520576,0.00206183878747,-41.3461453069,0.215401307568,159.40046849,0.138666912524,-70.5214430834,49.9152957565,-0.0043136659974,
 ,0.34,1.11120671239,0.162059386098,0.002058142096,-40.7722892167,0.215014404459,159.973656545,0.138488547753,-70.0415254973,49.9164557279,-0.00750144396604,
 ,0.36,1.11084610337,0.748949390469,0.00205443578371,-40.2095843264,0.214626431541,160.535647137,0.138313145721,-69.5795372754,49.9177855294,-0.00951008550197,
 ,0.38,1.11058623107,1.32490351015,0.00205071959616,-39.6588449071,0.214237362494,161.085625926,0.138140757967,-69.1362841952,49.9192496285,-0.0109130965634,
