Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),
Configuration Field Inputs,50,50,5,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.03852361517,-9.88561322051,1.16349959775,124.043485052,1.16349959775,124.043485052,2.60421606597,75.3289332131,2.59876837341,75.2431240942,49.9999957252,1.41886973071,
 ,0.02,1.03852360066,-9.88561148831,1.16349967584,124.043504697,1.16349967584,124.043504697,2.60421616849,75.3289324457,2.59876847653,75.2431233378,49.9999982883,0.521961038829,
 ,0.04,1.03852359683,-9.88561010131,1.16349960958,124.04350118,1.16349960958,124.04350118,2.60421607788,75.328938585,2.59876838489,75.2431294765,49.9999992449,0.192014332989,
 ,0.06,1.03852359366,-9.88560810036,1.16349948965,124.043492114,1.16349948965,124.043492114,2.60421591258,75.3289487225,2.59876821781,75.2431396109,49.9999995417,0.0706367890532,
 ,0.08,1.0385235902,-9.8856054112,1.16349932749,124.043479089,1.16349932749,124.043479089,2.60421568265,75.3289625701,2.59876798542,75.2431534536,49.9999995903,0.0259856354381,
 ,0.1,0.182507005438,-4.08041464627,10.2520877932,-85.9789319291,10.2520877932,-85.9789319291,6.02743065849,94.5874909778,6.02411725969,94.7692998811,47.212990522,11.5170356589,
 ,0.12,0.181492440413,-3.44996977748,10.2246660508,-85.6881979255,10.2246660508,-85.6881979255,6.02656882415,94.9620525097,6.02327211072,95.1439107042,48.8203450437,-3.24275725171,
 ,0.14,1.02339574946,-7.90856173551,1.14973097796,136.045000623,1.14973097796,136.045000623,2.67385493687,76.592968152,2.66860999247,76.5175458394,50.0422676968,-6.65641864181,
 ,0.16,1.02638914752,-7.46423400536,1.1096269982,130.473508752,1.1096269982,130.473508752,2.63054264435,78.5473856049,2.62496031971,78.469173282,49.9808639861,-2.12954542718,
 ,0.18,1.02555026905,-6.71399290002,1.09975603704,130.001061628,1.09975603704,130.001061628,2.61749450121,79.9815279582,2.61176787632,79.9033951459,49.9327898669,-0.554446629449,
 ,0.2,1.02434429459,-5.94836408305,1.09276795376,129.975208693,1.09276795376,129.975208693,2.60692990068,81.3626507837,2.601075991,81.2848721918,49.9102697429,-0.0983983389294,
 ,0.22,1.0231177083,-5.19116832763,1.08621409753,129.943433883,1.08621409753,129.943433883,2.59665376844,82.7245345801,2.59067585134,82.6471581396,49.901298948,0.00524865515197,
 ,0.24,1.02194036806,-4.44788274855,1.08004539516,129.860915679,1.08004539516,129.860915679,2.58649183797,84.0606267092,2.58039311209,83.9836588777,49.8987152275,0.0132030403939,
 ,0.26,1.02084933315,-3.7223448886,1.07444144282,129.723873859,1.07444144282,129.723873859,2.576435702,85.3618417147,2.57022026981,85.285265285,49.8991627316,0.00176706778241,
 ,0.28,1.01987169385,-3.01770809588,1.0695590694,129.535804556,1.0695590694,129.535804556,2.56651037118,86.6195802584,2.56018328203,86.5433591791,49.9011272941,-0.00967252680299,
 ,0.3,1.01902804429,-2.33656673737,1.06551510657,129.30422813,1.06551510657,129.30422813,2.55676322086,87.8257702831,2.55033047131,87.7498527653,49.9039218925,-0.017871917595,
 ,0.32,1.01833334981,-1.68101772495,1.06238940614,129.040187411,1.06238940614,129.040187411,2.54726139106,88.9727767763,2.54072993523,88.8970979432,49.9072201681,-0.0233298026587,
 ,0.34,1.01779721826,-1.05269189735,1.06022645437,128.75789796,1.06022645437,128.75789796,2.53809023073,90.053361764,2.5314679994,89.9778461862,49.9108497943,-0.0269513144304,
 ,0.36,1.01742412053,-0.452773327798,1.05903642485,128.474268008,1.05903642485,128.474268008,2.529351674,91.0606820211,2.52264759756,90.9852462356,49.9147036441,-0.0293749846403,
 ,0.38,1.0172137455,0.117981792666,1.05879742146,128.208268098,1.05879742146,128.208268098,2.52116218514,91.988315609,2.51438621414,91.9128706455,49.9187028407,-0.0309687268533,
 ,0.4,1.01716151919,0.659221292703,1.05945969145,127.980185032,1.05945969145,127.980185032,2.51365026438,92.8303156437,2.50681338023,92.754769589,49.922782088,-0.0319327432435,
 ,0.42,1.01725925033,1.17096621524,1.06095187903,127.810810772,1.06095187903,127.810810772,2.50695363793,93.5812913783,2.50006784603,93.5055520386,49.9268843364,-0.0323810276438,
 ,0.44,1.01749583862,1.65357280718,1.06318896586,127.72061608,1.06318896586,127.72061608,2.50121623311,94.2365155393,2.49429453069,94.1604932778,49.9309592399,-0.0323890171604,
 ,0.46,1.0178579791,2.10768797112,1.06608129445,127.728948413,1.06608129445,127.728948413,2.49658493878,94.7920546771,2.48964125078,94.7156654975,49.9349630603,-0.0320178061681,
 ,0.48,1.01833080546,2.53419944822,1.06954392525,127.853279812,1.06954392525,127.853279812,2.49320604167,95.2449167547,2.48625511906,95.1680856562,49.9388590265,-0.0313250893172,
 ,0.5,1.01889843114,2.93418242769,1.07350550012,128.108518254,1.07350550012,128.108518254,2.49122116175,95.5932075101,2.48427843871,95.5158720673,49.9426177223,-0.0303692250541,
 ,0.52,1.01954436735,3.3088445528,1.07791575255,128.506388625,1.07791575255,128.506388625,2.49076252125,95.8362844523,2.48384392953,95.7583984808,49.9462173192,-0.0292098982202,
 ,0.54,1.02025181697,3.65947139895,1.08275081461,129.054888516,1.08275081461,129.054888516,2.49194747619,95.9748951079,2.48506921756,95.8964321812,49.9496435756,-0.0279071771278,
 ,0.56,1.02100386148,3.98737441901,1.0880155393,129.757828737,1.0880155393,129.757828737,2.49487239746,96.0112849866,2.48805067798,95.9322414924,49.9528895851,-0.0265199007542,
 ,0.58,1.02178357137,4.29384309834,1.09374221248,130.614476802,1.09374221248,130.614476802,2.49960616863,95.9492613498,2.49285690135,95.8696587373,49.9559552889,-0.0251039131527,
 ,0.6,1.02257407814,4.58010268139,1.09998530193,131.619330747,1.09998530193,131.619330747,2.50618372191,95.7942016233,2.49952220707,95.7140875019,49.9588467918,-0.0237104461714,
 ,0.62,1.02335864764,4.84727840368,1.10681228912,132.762057312,1.10681228912,132.762057312,2.51460012319,95.5530000029,2.5080407172,95.4724478188,49.961575533,-0.0223848140613,
 ,0.64,1.0241207897,5.09636677536,1.11429112653,134.027629344,1.11429112653,134.027629344,2.52480572518,95.2339517336,2.51836151098,95.153058867,49.9641573615,-0.0211654745518,
 ,0.66,1.02484443004,5.32821418166,1.12247538987,135.396689523,1.12247538987,135.396689523,2.5367028416,94.8465806404,2.53038531337,94.7654649118,49.9666115575,-0.020083424112,
 ,0.68,1.02551415806,5.54350290788,1.13138865288,136.846149778,1.13138865288,136.846149778,2.55014428214,94.4014206608,2.54396305701,94.3202153917,49.9689598258,-0.0191618440067,
 ,0.7,1.0261155495,5.74274461787,1.14100989691,138.350009391,1.14100989691,138.350009391,2.56493395841,93.9097655975,2.55889652626,93.8286135191,49.9712252771,-0.0184159115372,
 ,0.72,1.02663554883,5.92628123095,1.15126179815,139.880344186,1.15126179815,139.880344186,2.58082964709,93.383402755,2.5749411678,93.3024491703,49.9734314082,-0.0178527350789,
