Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),
Configuration Field Inputs,50,50,15,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,I14,c,100,I15,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,1.0899999691,-6.36640011796,0.574517942718,3.49052058288,0.327074734786,4.672585954,0.328594746889,4.67457979333,1.99974262595,174.290641338,0.102045073917,-48.904950429,1.64512985555,1.83331174656,1.07244557122,-103.464605229,0.101466301653,-38.7257631737,0.465247064226,-33.0665077297,0.233995759925,-22.4075420408,0.232648226365,-125.70452178,17.4020783242,-129.240836463,1.96503057385,-27.6497052877,0.0128950038907,-69.7875077598,49.9999984886,0.961833870089,
 ,0.02,1.08999996617,-6.36639934377,0.57451793998,3.49052001562,0.327074680011,4.67258172008,0.328594691894,4.67457555876,1.99974278411,174.29064661,0.10204506961,-48.9049502107,1.64512948118,1.83330611264,1.0724455585,-103.464603886,0.101466302808,-38.7257625553,0.465247087531,-33.0665080357,0.233995774853,-22.4075408078,0.232648213585,-125.704517923,17.4020779447,-129.240835797,1.96503064859,-27.6497048143,0.012895004262,-69.7874992491,49.9999993718,0.353834850362,
 ,0.04,1.08999996454,-6.36639772458,0.574518006069,3.49051992947,0.327074717217,4.67258053577,0.328594729245,4.67457437839,1.99974269208,174.290648891,0.102045070207,-48.9049489314,1.64512957174,1.83330593542,1.07244553915,-103.464600202,0.101466305389,-38.7257614866,0.465247104535,-33.0665071383,0.233995807514,-22.407538628,0.23264820128,-125.704512038,17.4020784306,-129.240836607,1.96503076223,-27.64970352,0.0128950051083,-69.7874892341,49.9999996196,0.130167474024,
 ,0.06,1.08999996261,-6.36639510947,0.574518120727,3.49052001062,0.327074795183,4.672579914,0.328594807516,4.67457376354,1.99974248661,174.290650842,0.102045072228,-48.9049469796,1.645129808,1.83330689996,1.07244550992,-103.464594256,0.101466309584,-38.7257597955,0.46524712873,-33.0665055619,0.233995859938,-22.4075352049,0.232648183863,-125.704502876,17.4020793378,-129.240838016,1.96503094269,-27.6497014026,0.0128950065201,-69.7874740601,49.9999996233,0.0478859753211,
 ,0.08,1.08999996018,-6.36639152193,0.574518279073,3.49052025602,0.327074906603,4.67257959872,0.328594919373,4.67457345781,1.99974218898,174.290652847,0.102045075272,-48.9049443549,1.64513015287,1.83330863276,1.07244547185,-103.464586295,0.101466315336,-38.7257574832,0.465247161439,-33.0665033975,0.233995930612,-22.4075305626,0.232648161483,-125.704490673,17.4020805507,-129.240839722,1.9650311872,-27.6496985009,0.0128950084636,-69.7874536021,49.9999995396,0.0176167060063,
 ,0.1,0.969394321142,-5.01167379203,0.638952789079,-50.5133721732,1.52637540288,-89.6412960815,1.53279423059,-89.6141772738,4.89312715083,-119.07878812,0.0973983624595,-118.219068445,11.6072280008,-90.0162013761,0.947828079155,-107.261151035,0.0977039205864,-31.5069423101,0.450745928189,-25.0098477644,0.24334859053,0.659707877462,0.083191267946,133.32463133,7.36996307629,175.072493312,1.9107949972,-14.8681682619,0.0202923233855,43.8420929462,49.869267997,0.551699560611,
 ,0.12,0.967976827415,-4.77908704115,0.641371266719,-50.9807026098,1.54454954502,-90.1600576592,1.55104585465,-90.1331147728,5.08900231045,-119.301179474,0.0972023245304,-118.683442011,11.6371138676,-90.0752680928,0.945666371902,-107.200246303,0.0980207143708,-31.3236861748,0.452361553569,-24.8216243333,0.246488379184,0.877616042163,0.0800914465012,128.360249235,7.18684014493,173.845898702,1.92192803757,-14.6169507329,0.0210885310083,42.4628436908,49.9296062936,-0.0698504781534,
 ,0.14,1.08595405318,-5.57227460685,0.552712220672,2.45688436034,0.244619722475,-4.77986889362,0.245806321966,-4.77914388647,2.37782223175,-176.002568993,0.0964881776835,-48.3776514879,1.22622745087,-5.95816143082,1.06487776531,-103.110624655,0.10262535585,-38.0556800204,0.471205901182,-32.3745401823,0.244199939903,-20.8418888835,0.212566262434,-120.154156742,16.5370333758,-127.364390803,2.00442500539,-26.6449176357,0.0142214483206,-55.9865162036,50.0383282635,-0.491279594086,
 ,0.16,1.08638021256,-5.22313124034,0.55850998452,2.96632100718,0.240397456269,-2.4718248965,0.241560949815,-2.47283965602,2.42357060798,-176.485202074,0.0965163955577,-47.67115027,1.20779947838,-3.14480898525,1.06592630929,-102.934077024,0.103254656106,-37.8751068119,0.474326315113,-32.2044217119,0.248890780935,-20.5718761301,0.209319844426,-117.273287283,16.5294877748,-126.640241408,2.02413584136,-26.4252212082,0.0153349745629,-52.2618074947,49.9832866712,0.0831799705824,
 ,0.18,1.08602115325,-4.7980094921,0.559199382509,3.18687625256,0.222797028516,-2.81782860758,0.223885445819,-2.82027017619,2.52111060481,-175.662857068,0.0954399042024,-47.0369768164,1.10611275551,-3.23183354659,1.06531270931,-102.703654242,0.10396845692,-37.6107309574,0.477826076079,-31.9442262869,0.254163960534,-20.1010221457,0.204211218325,-113.82722511,16.3772155172,-125.713790481,2.0457512702,-26.072874756,0.0166282761427,-47.8538139401,49.9567870474,0.155010415569,
 ,0.2,1.08556215509,-4.35382721946,0.560261818677,3.36829911663,0.205756042766,-3.63222878427,0.206772419936,-3.63592972054,2.61599361996,-174.710808789,0.0943387362513,-46.4106419254,1.0052623384,-3.74558529411,1.06452892095,-102.448756275,0.104705201363,-37.3305808345,0.48136765297,-31.6672909774,0.25927632729,-19.6058092614,0.199630770892,-110.270767617,16.2228573478,-124.80501843,2.0668370147,-25.69866736,0.0180344984185,-43.8892997549,49.9451467033,0.11190125336,
 ,0.22,1.08509013426,-3.89457821633,0.562243867501,3.54498146221,0.190630358213,-4.65059138345,0.191583111275,-4.65532615154,2.70192113442,-173.777549131,0.093319647831,-45.7860383768,0.913021779865,-4.46039418356,1.0637503115,-102.169618168,0.105461757264,-37.0412188562,0.484920438699,-31.3809193225,0.264101304844,-19.104034592,0.195855411229,-106.706453901,16.0822082516,-123.935479175,2.08702244426,-25.3136711659,0.01953711218,-40.4030107515,49.9394311669,0.0685077625957,
 ,0.24,1.08462884932,-3.42039959918,0.565294666308,3.72708897702,0.177763301639,-5.77596442223,0.178662136104,-5.78143248243,2.77715503138,-172.892110802,0.0924081709422,-45.1652733583,0.831282521656,-5.32190965797,1.06303044361,-101.865713827,0.106238071518,-36.7437035093,0.488471441785,-31.086299066,0.268565394292,-18.5980580346,0.192921844956,-103.217965073,15.9589746148,-123.112120803,2.10607690782,-24.919564518,0.0211225748609,-37.34368794,49.9359748433,0.0420517984467,
 ,0.26,1.08419167512,-2.93145336828,0.569501580177,3.92070864739,0.167345459653,-6.91003518416,0.168200721647,-6.91588472009,2.84063256789,-172.063661799,0.0916195311202,-44.5504054335,0.761171733026,-6.26847053805,1.06240778164,-101.537619673,0.107033393303,-36.4385306359,0.492007164696,-30.7839490527,0.272608118594,-18.088209321,0.190792287243,-99.8894945181,15.8548209128,-122.339172636,2.12380058345,-24.5169550326,0.022777084589,-34.6559302179,49.9333935754,0.0282372679527,
 ,0.28,1.08378809226,-2.42824974199,0.57491327524,4.13042232944,0.159472376348,-7.9375810482,0.160294653149,-7.94345918228,2.89161837132,-171.295966523,0.0909643283659,-43.9428878176,0.703366573526,-7.21067623252,1.0619166545,-101.187010504,0.107846087961,-36.1261516236,0.495513207364,-30.4743275057,0.276180806206,-17.5744774373,0.18938011051,-96.8004426004,15.7704160756,-121.61845311,2.14002650911,-24.1063543118,0.024486468964,-32.2888644666,49.9311928194,0.021348690554,
 ,0.3,1.08342501044,-1.91169468828,0.58154267713,4.3597483368,0.154158199615,-8.73641352632,0.154957998461,-8.74202382508,2.92966380886,-170.590968373,0.090449309223,-43.3438342053,0.658137310151,-8.03238316821,1.06158865341,-100.816529763,0.10867364777,-35.8070716871,0.498974532989,-30.1579576464,0.27924744442,-17.0569561674,0.188566639419,-94.0196733085,15.7056787264,-120.949416812,2.15462450753,-23.6884040041,0.0262361329973,-30.1976171574,49.9292191531,0.017698705445,
 ,0.32,1.08310716007,-1.38309542311,0.589368333484,4.61119669757,0.151351961453,-9.19736162693,0.152139478069,-9.20250339223,2.95459403383,-169.94998949,0.0900776422887,-42.7542210791,0.625398102949,-8.60453187385,1.06145230388,-100.429622548,0.109512730391,-35.4818791611,0.502375707642,-29.8354679671,0.281785270828,-16.5360341872,0.188218457652,-91.6016755604,15.659916663,-120.329452789,2.16750346108,-23.2639610346,0.0280110316483,-28.343308944,49.9274487998,0.0153293103118,
 ,0.34,1.08283725696,-0.844144860443,0.598335695746,4.88624757345,0.150956519902,-9.24574872743,0.151741498925,-9.25031977709,2.96649714959,-169.374140548,0.089849099946,-42.1749941146,0.604781339007,-8.80971326489,1.06153220792,-100.030336721,0.110359226519,-35.1512537312,0.505701155466,-29.5076034546,0.283784975427,-16.0124802562,0.18820420487,-89.5848843177,15.631943634,-119.754360511,2.178612349,-22.8341280131,0.0297957197017,-26.6925739544,49.9259056395,0.0133002692349,
 ,0.36,1.08261615084,-0.296891763145,0.608358850363,5.18534653472,0.152845471159,-8.85564574311,0.153637137664,-8.85961081304,2.96571174428,-168.864432381,0.0897602469229,-41.6071139523,0.595723624911,-8.56983284959,1.06184806024,-99.6231021959,0.111208355304,-34.8159677227,0.508935431237,-29.175224305,0.285250492278,-15.4874698612,0.188408954208,-87.9917592651,15.6201938296,-119.218927659,2.1879401123,-22.4002539405,0.0315744824003,-25.2169544223,49.9246289167,0.0111963123535,
 ,0.38,1.08244302529,0.256299121802,0.619322932446,5.50794560774,0.156873321431,-8.05160424699,0.157680346472,-8.05494985641,2.95281182667,-168.421768754,0.0898046731784,-41.0515647361,0.597537177469,-7.86551082359,1.06241371913,-99.2125019678,0.112054782239,-34.4768856476,0.512063494404,-28.8392986335,0.286198381538,-14.9625732608,0.188744660141,-86.8298990182,15.6228390556,-118.717538352,2.19551434242,-21.9639157816,0.0333315315607,-23.8923051788,49.9236601702,0.00885640887767,
 ,0.4,1.08231565902,0.812793785612,0.631087266163,5.85259066505,0.162877385504,-6.89840597846,0.163707847204,-6.90110575963,2.92858898377,-168.046885148,0.0899732795943,-40.5093399414,0.609443788002,-6.73866549979,1.0632364185,-98.8030492494,0.112892752812,-34.1349635562,0.515070966106,-28.5008919226,0.286656823519,-14.4397157513,0.189155857575,-86.0934782766,15.6379066542,-118.244745929,2.20139882191,-21.5268865533,0.0350512474742,-22.6982523682,49.9230377239,0.00623890967254,
 ,0.42,1.08223073421,1.36973994383,0.643489167282,6.21704321684,0.170673751664,-5.48397866956,0.171535065931,-5.4859814512,2.89403186843,-167.740254412,0.0902546117658,-39.9814164457,0.63056894759,-5.27794576116,1.06431616429,-98.3989843519,0.1137162348,-33.7912482144,0.517944352176,-28.161154536,0.286664264218,-13.9211179933,0.189620442176,-85.7645315481,15.6633928342,-117.795756012,2.20568999193,-21.0910940763,0.0367184469043,-21.6177147555,49.9227942679,0.00335746508153,
 ,0.44,1.08218416886,1.92412005611,0.656348278688,6.59842082292,0.180051631103,-3.9018423746,0.180950445061,-3.90308036047,2.85030321456,-167.501963386,0.0906352317075,-39.4687260727,0.659915048676,-3.59455562256,1.06564533937,-98.0041029736,0.114519062157,-33.4468755521,0.52067121837,-27.8213081048,0.286267766972,-13.4092233237,0.19014587385,-85.8139249961,15.6973646093,-117.36678207,2.20851246881,-20.6585741574,0.0383186588958,-20.6364830626,49.9229557984,0.000251032417651,
 ,0.46,1.08217144748,2.47280448995,0.669471269293,6.99334154965,0.190769850762,-2.23769217191,0.191711908828,-2.23809841824,2.79871459801,-167.331558735,0.0911001152741,-38.9721320867,0.696339339333,-1.79856040978,1.06720853088,-97.6216247427,0.115295074089,-33.1030676482,0.523240308522,-27.4826313551,0.285521137569,-12.9066184854,0.190761554481,-86.2021434844,15.7380434281,-116.955254041,2.21001377617,-20.2314217643,0.0398383921238,-19.7428491107,49.9235412286,-0.00303036265279,
 ,0.48,1.08218792599,3.01260331239,0.682656703711,7.39806174673,0.202557287121,-0.561843617451,0.203547288993,-0.561368432574,2.74069917294,-167.227859468,0.0916330626974,-38.492415773,0.738553405883,0.0172987780884,1.06898258912,-97.2541074443,0.116038243733,-32.7611275216,0.525641601388,-27.1464457471,0.284482900034,-12.4159535435,0.191508496721,-86.8802031615,15.7838646034,-116.559877866,2.21035849904,-19.8117433783,0.0412653798914,-18.9272763403,49.9245623772,-0.00643268088259,
 ,0.5,1.08222908999,3.54031559769,0.695699883727,7.80860110824,0.215117150742,1.07307034662,0.216158621495,1.07444957088,2.67778264157,-167.18873606,0.0922171101516,-38.0302754828,0.785146784536,1.78447332599,1.0709369237,-96.9034086881,0.116742792116,-32.4224310881,0.527866307257,-26.8141011012,0.283214206733,-11.9398657831,0.192427731308,-87.7910432257,15.8335085864,-116.18055806,2.20972209658,-19.4016130972,0.0425887915822,-18.1821042144,49.9260241863,-0.0099015778241,
 ,0.52,1.08229075044,4.0527755467,0.708397473576,8.2208532024,0.228133990297,2.63087393219,0.229229178241,2.63315012916,2.61155276792,-167.210861287,0.0928349314263,-37.5863377806,0.834627645537,3.45820962908,1.07303404063,-96.5706931789,0.117403284323,-32.088415796,0.529906810453,-26.4869611843,0.281776768762,-11.4809111745,0.19354913009,-88.871644238,15.8859026915,-115.81820599,2.20828462947,-19.0030342802,0.0437994022689,-17.5012802509,49.9279250802,-0.0133844418819,
