Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),
Configuration Field Inputs,50,50,13,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,I10,c,100,I11,c,100,I12,c,100,I13,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Frequency,ROCOF,
 ,0.2,0.99971181306,-3.00191997281,0.199630770892,69.7292323834,0.162436399873,-36.6965334572,0.906415310158,-29.3747376227,0.653510703965,-4.85876947347,0.108249922943,-23.5067433332,0.618200241851,178.589633759,3.26204608351,-19.7401481876,0.201092391717,-15.1043788502,0.375207906705,16.2694940445,0.186582008237,16.3786002273,0.414641317565,-3.50779025204,0.101253262257,30.3229479281,49.9822815657,0.0305229620507,
 ,0.22,0.99963271814,-2.8324875659,0.195855411229,73.2935460985,0.162863666058,-36.6091977761,0.908044864524,-29.2911969867,0.654382891019,-4.72712200352,0.108415537558,-23.4185141664,0.689365322779,178.858704369,3.26258409727,-19.6308861431,0.202589493101,-15.0546752338,0.384249169712,15.7589698887,0.18677946974,16.3847232973,0.420254238928,-3.51425327048,0.10230578912,29.8577361169,49.9783833045,0.0310045993797,
 ,0.24,0.999534341114,-2.62984447113,0.192921844956,76.7820349274,0.163368538751,-36.5034798744,0.909980158024,-29.1888710021,0.655066902305,-4.55704307258,0.108625095357,-23.3080484307,0.757664833802,179.14377838,3.26326282428,-19.4940134763,0.204377211264,-14.9938140262,0.394980900867,15.1969879,0.187221783139,16.3672110714,0.426926441957,-3.51614726987,0.10357601384,29.3178006644,49.9739991548,0.0336832267699,
 ,0.26,0.999414844478,-2.38977801783,0.190792287243,80.1105054819,0.163959911829,-36.3769318493,0.912263851888,-29.0652662137,0.655573619365,-4.34434452591,0.108886173798,-23.1724456121,0.82187956255,179.445058404,3.2642020936,-19.326003316,0.206491449675,-14.920136208,0.407607346713,14.5897231796,0.187947832871,16.3234152082,0.434780437469,-3.51153587007,0.105095572836,28.7001462646,49.9690716255,0.0373969756463,
 ,0.28,0.999272555273,-2.10885763282,0.18938011051,83.1995573996,0.164644428719,-36.2274672822,0.914930892139,-28.9182722638,0.655927413564,-4.08595893467,0.109205419901,-23.0093152074,0.880794982622,179.763211691,3.26553443473,-19.1240271951,0.208960794334,-14.8320658023,0.422288151324,13.9483980145,0.188992143814,16.2520671338,0.443908986963,-3.49797253532,0.106892593191,28.0062405555,49.9636489806,0.041220680852,
 ,0.3,0.99910609109,-1.78456656463,0.188566639419,85.9803266915,0.165426166478,-36.0534351851,0.918006941117,-28.7462395906,0.656164419126,-3.78004079321,0.109588290786,-22.8168686512,0.933247669299,-179.90169317,3.26739940952,-18.8860551051,0.211805309783,-14.7281685325,0.439129306657,13.2881607791,0.190383023444,16.1534837644,0.454370697577,-3.47262000175,0.108990517493,27.242074046,49.9578299529,0.0445734808881,
 ,0.32,0.998914440716,-1.41541327571,0.188218457652,88.3983244396,0.166306388254,-35.8536834847,0.921506836882,-28.5480404915,0.656329937539,-3.42602210678,0.110038737287,-22.5939844412,0.978177823425,-179.550578277,3.2699352629,-18.6109275181,0.215035527642,-14.6072124468,0.45817524954,12.6265739069,0.192140808775,16.0297061079,0.466186506595,-3.43241741828,0.111406845684,26.417864158,49.9517415474,0.0471051862938,
 ,0.34,0.998697030373,-1.00101948889,0.18820420487,90.4151156823,0.16728337527,-35.6276119989,0.925433273765,-28.323117145,0.656475166041,-3.02462449974,0.110558909202,-22.3402543003,1.01468307721,-179.185516406,3.27326953589,-18.2984027686,0.218651659962,-14.4682338242,0.479402592174,11.9819365931,0.194276388055,15.8844931875,0.479337164619,-3.37428895437,0.114151836953,25.5474039768,49.9455287712,0.0485994605451,
 ,0.36,0.998453788119,-0.542180789774,0.188408954208,92.0082407349,0.168352349182,-35.375213237,0.929775809775,-28.0715162805,0.656653470603,-2.57783013997,0.111148906323,-22.0560108163,1.04206955977,-178.809789805,3.27750943081,-17.9491793415,0.222643078095,-14.310606544,0.50271605388,11.3716913096,0.196789978451,15.7231546821,0.493761861227,-3.29537515248,0.117227266292,24.6471101401,49.9393484041,0.0489196993619,
 ,0.38,0.998185211691,-0.040896039283,0.188744660141,93.1701009818,0.169505492628,-35.0970990535,0.934510281812,-27.793909491,0.656916448913,-2.08881497407,0.111806592453,-21.7423362802,1.05989649548,-178.427888301,3.28273261377,-17.5648929837,0.226988093436,-14.1341102254,0.52794705283,10.8111203057,0.199670196014,15.5522317857,0.509358114752,-3.19326264341,0.120625358218,23.7348731016,49.9333639384,0.0479838946489,
 ,0.4,0.997892440601,0.499637324369,0.189155857575,93.9065217234,0.170732071582,-34.794511302,0.939598689315,-27.4915981595,0.657310039604,-1.56184912504,0.112527487105,-21.4010526423,1.06801101685,-178.045455747,3.2889790971,-17.1480893166,0.231654067306,-13.938990809,0.554855221872,10.3124528848,0.202893492103,15.3790581114,0.525983006615,-3.06618797585,0.124328025139,22.8288434848,49.9277407008,0.0457546739049,
 ,0.42,0.997577329728,1.07506387613,0.189620442176,94.2354684519,0.17201865837,-34.4693149956,0.944989583099,-27.1665021152,0.657870929461,-1.0021702807,0.113304746143,-21.0346927206,1.06657044452,-177.66918058,3.29624477725,-16.7021731607,0.23659786486,-13.7260067845,0.583132892443,9.88440992787,0.206424037589,15.2112501593,0.543455786879,-2.91319595465,0.128306519578,21.946292889,49.9226408937,0.0422360694611,
 ,0.44,0.997242518178,1.6799471139,0.19014587385,94.1860750039,0.173349449123,-34.1239729956,0.950618968708,-26.8211313643,0.658623490837,-0.415836285919,0.11412923806,-20.6464529333,1.05605002253,-177.306617856,3.30447710066,-16.2313360694,0.241766653104,-13.4964548901,0.612412389445,9.53213667763,0.210214120758,15.0561860882,0.561561816124,-2.73424010931,0.132521572319,21.1026661799,49.9182185785,0.0374725798911,
 ,0.46,0.99689148405,2.30788163558,0.190761554481,93.7978565156,0.174706664445,-33.761501892,0.95641170451,-26.4585405535,0.659577447791,0.190437061119,0.11498971732,-20.2401279708,1.03723496622,-176.965922139,3.31357319702,-15.7404636962,0.247099026995,-13.2521706352,0.642275820272,9.25743164727,0.214205093996,14.9205304026,0.580057744232,-2.53022071962,0.136924041258,20.3109021194,49.9146147394,0.0315483521763,
 ,0.48,0.996528573416,2.95163802047,0.191508496721,93.1197968385,0.176071017698,-33.3854094674,0.962283346369,-26.0822662728,0.66072642384,0.809447671665,0.115873090626,-19.8200280472,1.01119663501,-176.655462373,3.32338066518,-15.235024728,0.252526431364,-12.9955011295,0.672266926788,9.05916795087,0.218328864249,14.8098515842,0.598677764421,-2.302962649,0.141456047808,19.5810516165,49.9119526093,0.0245854797252,
 ,0.5,0.996158990877,3.60333640256,0.192427731308,92.2089567743,0.177422231803,-32.9996149343,0.968142365457,-25.6962478947,0.662047469472,1.43368381802,0.116764766683,-19.3908797843,0.979253621503,-176.383282934,3.3337010325,-14.7209433331,0.257974831389,-12.7292500914,0.701904493384,8.93381409768,0.222509879501,14.7283627897,0.617140725769,-2.05514021829,0.14605253728,18.9201793643,49.9103334522,0.016741002793,
 ,0.52,0.995788740141,4.25464342214,0.19354913009,91.128355762,0.178739583286,-32.6083539446,0.973892645846,-25.3047333821,0.663501607339,2.0555021003,0.117649075263,-18.9577123983,0.942919491416,-176.156374157,3.34429574697,-14.2044574841,0.26336657176,-12.4565972181,0.730696759021,8.87598303971,0.226667524345,14.6787966506,0.635157843892,-1.7901593108,0.150643171193,18.3325031009,49.9098329865,0.00820251190176,
 ,0.54,0.995424506205,4.89698616732,0.194882336187,89.9441059169,0.180002451588,-32.2160711558,0.97943615566,-24.9121723238,0.665035371339,2.667303564,0.118509737668,-18.5257316457,0.903839758439,-175.979729388,3.35489441371,-13.6919661374,0.268622355685,-12.1809960688,0.758156260718,8.878961919,0.23071880703,14.6624078288,0.652440720858,-1.5120081124,0.155154444135,17.8197081125,49.9104986083,-0.000817562344242,
 ,0.56,0.995073475977,5.52177592983,0.196411197286,88.7220467082,0.181190852484,-31.827303826,0.98467568055,-24.5230992994,0.666583256601,3.26170492485,0.119330368173,-18.1001848648,0.863721391056,-175.855207245,3.365204864,-13.1898690283,0.273663270182,-11.9060560712,0.78381453762,8.93519516128,0.234581201,14.6790839075,0.668709373761,-1.22508784002,0.159511914125,17.3813715023,49.912347547,-0.0100887723817,
